Time Bucket (America/New_York),30 Bellevue_1 (kWhs),30 Bellevue_2 (kWhs),Tesla Charger (kWhs),Heat Pump Attic (kWhs),Heat Pump Basement (kWhs),Oven (kWhs)
10/05/2022 02:00:00,0.4792,0.5458,0.0000,0.1733,0.0010,0.0047
10/05/2022 03:00:00,5.3628,5.3821,8.4252,0.9984,0.0052,0.0138
10/05/2022 04:00:00,0.4766,1.0125,0.0002,0.1783,0.0011,0.0082
10/05/2022 05:00:00,0.4660,0.8700,0.0001,0.1634,0.0011,0.0066
10/05/2022 06:00:00,1.5298,1.5491,0.0001,1.0706,0.0244,0.0068
10/05/2022 07:00:00,1.4811,1.2246,0.0001,0.0054,0.0041,0.0048
10/05/2022 08:00:00,1.7810,1.2521,0.0000,0.7787,0.0049,0.0038
10/05/2022 09:00:00,1.1033,0.9409,0.0000,0.6061,0.0309,0.0031
10/05/2022 10:00:00,1.6137,1.8566,0.0000,0.9392,1.1921,0.0052
10/05/2022 11:00:00,1.0614,1.1375,0.0000,1.0019,0.0013,0.0044
10/05/2022 12:00:00,0.9217,0.9486,0.0000,0.3224,0.4553,0.0036
10/05/2022 13:00:00,0.6499,0.8030,0.0000,0.1587,0.3122,0.0042
10/05/2022 14:00:00,0.4796,0.4919,0.0000,0.0709,0.0008,0.0033
10/05/2022 15:00:00,1.6375,0.6389,0.0000,0.0906,0.2498,0.0015
10/05/2022 16:00:00,3.0547,3.2117,4.2886,0.0065,0.0055,0.0099
10/05/2022 17:00:00,4.5208,4.2714,6.9763,0.0044,0.0062,0.0116
10/05/2022 18:00:00,1.7898,1.3536,0.0000,0.9058,0.0032,0.0046
10/05/2022 19:00:00,1.6503,0.9915,0.0000,0.2217,0.0379,0.0031
10/05/2022 20:00:00,0.6840,0.7907,0.0000,0.0045,0.0010,0.0048
10/05/2022 21:00:00,0.6702,0.7048,0.0000,0.0034,0.3543,0.0038
10/05/2022 22:00:00,0.3926,0.4659,0.0000,0.0042,0.0008,0.0039
10/05/2022 23:00:00,0.3809,0.4781,0.0000,0.0047,0.0009,0.0039
10/06/2022 00:00:00,0.3814,0.4674,0.0000,0.0046,0.0010,0.0039
10/06/2022 01:00:00,0.3809,0.4961,0.0000,0.0043,0.0009,0.0046
10/06/2022 02:00:00,0.3855,0.4217,0.0000,0.0044,0.0010,0.0042
10/06/2022 03:00:00,0.3816,0.4079,0.0000,0.0042,0.0010,0.0040
10/06/2022 04:00:00,0.3807,0.9371,0.0002,0.0067,0.0011,0.0087
10/06/2022 05:00:00,0.3840,0.7520,0.0001,0.0058,0.0012,0.0063
10/06/2022 06:00:00,1.4623,1.5774,0.0001,0.0060,0.0021,1.2346
10/06/2022 07:00:00,0.9208,0.8089,0.0001,0.0050,0.0024,0.1253
10/06/2022 08:00:00,0.5486,0.5001,0.0000,0.0045,0.0012,0.0890
10/06/2022 09:00:00,0.4305,0.3875,0.0000,0.0039,0.0009,0.0025
10/06/2022 10:00:00,0.4264,0.5089,0.0000,0.0041,0.0007,0.0035
10/06/2022 11:00:00,0.4550,0.4131,0.0000,0.0040,0.0007,0.0026
10/06/2022 12:00:00,0.3922,0.5602,0.0000,0.0047,0.0009,0.0037
10/06/2022 13:00:00,0.5243,0.5392,0.0000,0.0037,0.0007,0.0031
10/06/2022 14:00:00,0.4174,0.3909,0.0000,0.0036,0.0007,0.0023
10/06/2022 15:00:00,0.8182,0.4732,0.0000,0.0045,0.0017,0.0011
10/06/2022 16:00:00,0.4237,0.9112,0.0002,0.0053,0.0006,0.0067
10/06/2022 17:00:00,5.6017,4.9254,8.2366,0.0032,0.0042,0.0121
10/06/2022 18:00:00,2.9069,2.8222,3.9239,0.0042,0.0039,0.0086
