,Date,Valid,Installed_Charge_Capacity,Installed_Discharge_Capacity,Total_Charge,Total_Discharge,Hourly_Charging,Hourly_Discharging
22,12/27/2023,True,7022,5417,4023.606,2854.759,"[70.22, 112.352, 119.37400000000001, 77.242, 154.484, 175.55, 133.418, 91.286, 372.166, 168.528, 315.99, 470.47400000000005, 379.18800000000005, 203.63799999999998, 301.94599999999997, 175.55, 35.11, 91.286, 42.132, 63.19800000000001, 49.153999999999996, 154.484, 63.19800000000001, 203.63799999999998]","[97.50600000000001, 21.668, 10.834, 70.421, 54.17, 59.587, 119.174, 151.676, 81.255, 102.923, 48.75300000000001, 54.17, 54.17, 59.587, 86.672, 54.17, 173.344, 346.688, 303.352, 167.927, 346.688, 200.42900000000003, 102.923, 86.672]"
23,12/28/2023,True,7022,5417,3763.792,2459.318,"[91.286, 119.37400000000001, 112.352, 147.46200000000002, 217.682, 91.286, 91.286, 42.132, 238.74800000000002, 203.63799999999998, 168.528, 175.55, 294.92400000000004, 344.07800000000003, 238.74800000000002, 344.07800000000003, 77.242, 77.242, 56.176, 217.682, 140.44, 196.61599999999999, 49.153999999999996, 28.088]","[37.919, 43.336, 32.502, 59.587, 54.17, 92.08900000000001, 173.344, 352.105, 48.75300000000001, 43.336, 27.085, 32.502, 32.502, 59.587, 48.75300000000001, 43.336, 97.50600000000001, 357.522, 308.769, 135.425, 157.093, 54.17, 43.336, 124.591]"
24,12/29/2023,True,7022,5417,3770.814,3607.722,"[49.153999999999996, 133.418, 105.33, 154.484, 84.264, 168.528, 182.572, 91.286, 273.858, 238.74800000000002, 182.572, 98.30799999999999, 168.528, 386.21, 526.65, 133.418, 42.132, 42.132, 189.59400000000002, 49.153999999999996, 84.264, 119.37400000000001, 105.33, 161.506]","[216.68, 189.59500000000003, 157.093, 135.425, 65.004, 75.838, 146.25900000000001, 184.17800000000003, 65.004, 113.757, 48.75300000000001, 37.919, 43.336, 59.587, 43.336, 86.672, 216.68, 492.947, 379.19000000000005, 314.186, 254.599, 130.008, 92.08900000000001, 59.587]"
25,12/30/2023,True,7022,5637,4767.938,3162.357,"[189.59400000000002, 140.44, 119.37400000000001, 63.19800000000001, 133.418, 105.33, 133.418, 63.19800000000001, 315.99, 407.27599999999995, 133.418, 182.572, 308.968, 554.738, 667.09, 386.21, 98.30799999999999, 105.33, 182.572, 91.286, 49.153999999999996, 63.19800000000001, 112.352, 161.506]","[50.733000000000004, 45.096000000000004, 39.458999999999996, 152.199, 186.02100000000002, 326.94599999999997, 524.2410000000001, 310.035, 73.281, 90.19200000000001, 39.458999999999996, 33.822, 56.370000000000005, 67.644, 50.733000000000004, 39.458999999999996, 248.02800000000002, 338.21999999999997, 152.199, 56.370000000000005, 129.651, 28.185000000000002, 90.19200000000001, 33.822]"
26,12/31/2023,True,7022,5637,3721.6600000000003,3032.706,"[119.37400000000001, 77.242, 91.286, 77.242, 84.264, 63.19800000000001, 49.153999999999996, 133.418, 175.55, 196.61599999999999, 217.682, 259.814, 287.902, 442.386, 294.92400000000004, 294.92400000000004, 49.153999999999996, 35.11, 189.59400000000002, 147.46200000000002, 119.37400000000001, 175.55, 77.242, 63.19800000000001]","[67.644, 39.458999999999996, 45.096000000000004, 67.644, 33.822, 78.91799999999999, 264.939, 422.775, 135.288, 95.82900000000001, 118.37700000000001, 73.281, 95.82900000000001, 84.55499999999999, 56.370000000000005, 84.55499999999999, 186.02100000000002, 383.31600000000003, 135.288, 169.10999999999999, 135.288, 90.19200000000001, 90.19200000000001, 78.91799999999999]"
27,01/01/2024,True,7022,5940,3475.89,3249.1800000000003,"[147.46200000000002, 168.528, 105.33, 70.22, 49.153999999999996, 91.286, 84.264, 21.066, 189.59400000000002, 91.286, 154.484, 189.59400000000002, 77.242, 147.46200000000002, 337.056, 337.056, 91.286, 105.33, 161.506, 126.39600000000002, 196.61599999999999, 84.264, 252.79200000000003, 196.61599999999999]","[23.76, 29.7, 23.76, 35.64, 65.34, 53.46000000000001, 118.8, 481.14000000000004, 350.46000000000004, 65.34, 11.88, 35.64, 23.76, 35.64, 53.46000000000001, 53.46000000000001, 190.08, 659.34, 409.86, 267.3, 178.2, 59.4, 11.88, 11.88]"
28,01/02/2024,True,7022,5940,4409.816,4318.38,"[301.94599999999997, 154.484, 133.418, 91.286, 112.352, 112.352, 105.33, 98.30799999999999, 168.528, 196.61599999999999, 224.704, 393.23199999999997, 337.056, 323.012, 414.298, 308.968, 175.55, 77.242, 35.11, 112.352, 98.30799999999999, 147.46200000000002, 147.46200000000002, 140.44]","[23.76, 35.64, 17.82, 23.76, 23.76, 118.8, 463.32, 778.14, 314.82, 154.44000000000003, 77.22000000000001, 17.82, 41.58, 59.4, 47.52, 53.46000000000001, 83.16, 267.3, 552.4200000000001, 493.02000000000004, 374.22, 148.5, 89.1, 59.4]"
29,01/03/2024,True,7022,5940,4732.828,2500.74,"[245.77, 133.418, 294.92400000000004, 210.66, 154.484, 133.418, 98.30799999999999, 147.46200000000002, 238.74800000000002, 337.056, 477.49600000000004, 428.342, 379.18800000000005, 217.682, 126.39600000000002, 133.418, 91.286, 84.264, 56.176, 133.418, 175.55, 168.528, 154.484, 112.352]","[59.4, 112.86, 35.64, 77.22000000000001, 35.64, 184.14, 243.53999999999996, 338.58, 136.62, 47.52, 17.82, 17.82, 17.82, 35.64, 47.52, 53.46000000000001, 130.68, 243.53999999999996, 350.46000000000004, 65.34, 65.34, 83.16, 77.22000000000001, 23.76]"
30,01/04/2024,True,7032,5940,3508.9680000000003,3261.06,"[182.83200000000002, 112.512, 49.224, 77.352, 56.256, 147.672, 126.57600000000002, 133.608, 126.57600000000002, 147.672, 84.384, 119.54400000000001, 232.056, 281.28000000000003, 217.992, 182.83200000000002, 126.57600000000002, 133.608, 112.512, 133.608, 91.41600000000001, 133.608, 189.86400000000003, 309.408]","[35.64, 47.52, 29.7, 11.88, 23.76, 100.98, 255.42, 356.4, 136.62, 130.68, 47.52, 89.1, 65.34, 65.34, 89.1, 160.38000000000002, 368.28, 326.7, 213.84000000000003, 267.3, 267.3, 65.34, 47.52, 59.4]"
31,01/05/2024,True,7662,5940,3861.648,3082.86,"[268.17, 214.53599999999997, 168.56400000000002, 153.24, 145.578, 45.972, 68.95800000000001, 38.31, 191.55, 206.87400000000002, 183.888, 160.90200000000002, 551.6640000000001, 321.80400000000003, 337.12800000000004, 160.90200000000002, 130.25400000000002, 76.62, 99.60600000000001, 53.63399999999999, 38.31, 68.95800000000001, 91.944, 84.28200000000001]","[59.4, 23.76, 41.58, 71.28, 106.92000000000002, 77.22000000000001, 237.6, 415.8, 41.58, 59.4, 41.58, 71.28, 65.34, 89.1, 65.34, 77.22000000000001, 255.42, 427.68000000000006, 201.96, 231.66, 178.2, 77.22000000000001, 83.16, 83.16]"
32,01/06/2024,True,7662,5940,4206.438,4062.96,"[99.60600000000001, 137.91600000000003, 130.25400000000002, 199.21200000000002, 130.25400000000002, 99.60600000000001, 45.972, 61.296, 237.522, 222.19799999999998, 176.226, 222.19799999999998, 367.776, 252.846, 559.326, 628.2839999999999, 91.944, 53.63399999999999, 30.648, 45.972, 122.592, 68.95800000000001, 76.62, 145.578]","[106.92000000000002, 29.7, 53.46000000000001, 53.46000000000001, 41.58, 118.8, 368.28, 635.58, 106.92000000000002, 53.46000000000001, 47.52, 89.1, 59.4, 53.46000000000001, 77.22000000000001, 89.1, 142.56, 308.88000000000005, 397.98, 433.61999999999995, 166.32, 166.32, 231.66, 231.66]"
33,01/07/2024,True,7662,5940,5118.216,3849.12,"[114.92999999999999, 176.226, 176.226, 145.578, 191.55, 314.14199999999994, 245.184, 130.25400000000002, 275.83200000000005, 153.24, 291.156, 390.762, 559.326, 505.692, 421.41, 321.80400000000003, 137.91600000000003, 76.62, 76.62, 38.31, 45.972, 99.60600000000001, 91.944, 137.91600000000003]","[457.38, 219.78000000000003, 59.4, 178.2, 124.74000000000001, 124.74000000000001, 106.92000000000002, 190.08, 59.4, 219.78000000000003, 89.1, 59.4, 100.98, 47.52, 35.64, 100.98, 237.6, 231.66, 344.52, 255.42, 231.66, 166.32, 118.8, 89.1]"
34,01/08/2024,True,7662,5940,4336.692,3344.2200000000003,"[176.226, 375.438, 413.74800000000005, 344.78999999999996, 260.50800000000004, 160.90200000000002, 114.92999999999999, 38.31, 45.972, 145.578, 114.92999999999999, 168.56400000000002, 199.21200000000002, 191.55, 298.818, 245.184, 206.87400000000002, 160.90200000000002, 91.944, 76.62, 61.296, 107.26799999999999, 191.55, 145.578]","[53.46000000000001, 53.46000000000001, 59.4, 41.58, 77.22000000000001, 95.04, 154.44000000000003, 297.0, 249.48000000000002, 136.62, 130.68, 100.98, 100.98, 112.86, 95.04, 95.04, 71.28, 201.96, 231.66, 201.96, 279.18, 130.68, 47.52, 326.7]"
35,01/09/2024,True,7662,5940,4773.426,4062.96,"[145.578, 130.25400000000002, 137.91600000000003, 329.46599999999995, 329.46599999999995, 130.25400000000002, 45.972, 68.95800000000001, 298.818, 214.53599999999997, 459.71999999999997, 352.452, 222.19799999999998, 383.1, 145.578, 199.21200000000002, 53.63399999999999, 53.63399999999999, 61.296, 153.24, 168.56400000000002, 283.494, 229.85999999999999, 176.226]","[142.56, 118.8, 65.34, 59.4, 77.22000000000001, 77.22000000000001, 350.46000000000004, 225.72, 83.16, 184.14, 106.92000000000002, 59.4, 35.64, 83.16, 77.22000000000001, 77.22000000000001, 255.42, 831.6, 700.9200000000001, 291.06, 100.98, 11.88, 23.76, 23.76]"
