,period,subba-name,value,value-units
4199,2019-01-07T00,Dominion Virginia Power zone,11558,megawatthours
4198,2019-01-07T01,Dominion Virginia Power zone,11610,megawatthours
4197,2019-01-07T02,Dominion Virginia Power zone,11549,megawatthours
4196,2019-01-07T03,Dominion Virginia Power zone,11326,megawatthours
4195,2019-01-07T04,Dominion Virginia Power zone,10809,megawatthours
4194,2019-01-07T05,Dominion Virginia Power zone,10399,megawatthours
4193,2019-01-07T06,Dominion Virginia Power zone,10205,megawatthours
4192,2019-01-07T07,Dominion Virginia Power zone,10152,megawatthours
4191,2019-01-07T08,Dominion Virginia Power zone,10206,megawatthours
4190,2019-01-07T09,Dominion Virginia Power zone,10431,megawatthours
4189,2019-01-07T10,Dominion Virginia Power zone,10963,megawatthours
4188,2019-01-07T11,Dominion Virginia Power zone,11859,megawatthours
4187,2019-01-07T12,Dominion Virginia Power zone,13107,megawatthours
4186,2019-01-07T13,Dominion Virginia Power zone,13637,megawatthours
4185,2019-01-07T14,Dominion Virginia Power zone,13325,megawatthours
4184,2019-01-07T15,Dominion Virginia Power zone,13214,megawatthours
4183,2019-01-07T16,Dominion Virginia Power zone,13099,megawatthours
4182,2019-01-07T17,Dominion Virginia Power zone,12467,megawatthours
4181,2019-01-07T18,Dominion Virginia Power zone,12230,megawatthours
4180,2019-01-07T19,Dominion Virginia Power zone,12141,megawatthours
4179,2019-01-07T20,Dominion Virginia Power zone,12043,megawatthours
4178,2019-01-07T21,Dominion Virginia Power zone,12146,megawatthours
4177,2019-01-07T22,Dominion Virginia Power zone,12639,megawatthours
4176,2019-01-07T23,Dominion Virginia Power zone,13498,megawatthours
4175,2019-01-08T00,Dominion Virginia Power zone,13711,megawatthours
4174,2019-01-08T01,Dominion Virginia Power zone,13473,megawatthours
4173,2019-01-08T02,Dominion Virginia Power zone,13182,megawatthours
4172,2019-01-08T03,Dominion Virginia Power zone,12560,megawatthours
4171,2019-01-08T04,Dominion Virginia Power zone,11957,megawatthours
4170,2019-01-08T05,Dominion Virginia Power zone,11103,megawatthours
4169,2019-01-08T06,Dominion Virginia Power zone,10668,megawatthours
4168,2019-01-08T07,Dominion Virginia Power zone,10422,megawatthours
4167,2019-01-08T08,Dominion Virginia Power zone,10285,megawatthours
4166,2019-01-08T09,Dominion Virginia Power zone,10251,megawatthours
4165,2019-01-08T10,Dominion Virginia Power zone,10585,megawatthours
4164,2019-01-08T11,Dominion Virginia Power zone,11302,megawatthours
4163,2019-01-08T12,Dominion Virginia Power zone,12362,megawatthours
4162,2019-01-08T13,Dominion Virginia Power zone,12816,megawatthours
4161,2019-01-08T14,Dominion Virginia Power zone,12607,megawatthours
4160,2019-01-08T15,Dominion Virginia Power zone,12160,megawatthours
4159,2019-01-08T16,Dominion Virginia Power zone,11712,megawatthours
4158,2019-01-08T17,Dominion Virginia Power zone,11123,megawatthours
4157,2019-01-08T18,Dominion Virginia Power zone,10573,megawatthours
4156,2019-01-08T19,Dominion Virginia Power zone,10350,megawatthours
4155,2019-01-08T20,Dominion Virginia Power zone,10091,megawatthours
4154,2019-01-08T21,Dominion Virginia Power zone,10156,megawatthours
4153,2019-01-08T22,Dominion Virginia Power zone,10532,megawatthours
4152,2019-01-08T23,Dominion Virginia Power zone,11310,megawatthours
4151,2019-01-09T00,Dominion Virginia Power zone,11542,megawatthours
4150,2019-01-09T01,Dominion Virginia Power zone,11440,megawatthours
4149,2019-01-09T02,Dominion Virginia Power zone,11205,megawatthours
4148,2019-01-09T03,Dominion Virginia Power zone,10739,megawatthours
4147,2019-01-09T04,Dominion Virginia Power zone,9973,megawatthours
4146,2019-01-09T05,Dominion Virginia Power zone,9326,megawatthours
4145,2019-01-09T06,Dominion Virginia Power zone,8925,megawatthours
4144,2019-01-09T07,Dominion Virginia Power zone,8829,megawatthours
4143,2019-01-09T08,Dominion Virginia Power zone,8914,megawatthours
4142,2019-01-09T09,Dominion Virginia Power zone,9034,megawatthours
4141,2019-01-09T10,Dominion Virginia Power zone,9508,megawatthours
4140,2019-01-09T11,Dominion Virginia Power zone,10473,megawatthours
4139,2019-01-09T12,Dominion Virginia Power zone,11739,megawatthours
4138,2019-01-09T13,Dominion Virginia Power zone,12281,megawatthours
4137,2019-01-09T14,Dominion Virginia Power zone,11940,megawatthours
4136,2019-01-09T15,Dominion Virginia Power zone,11483,megawatthours
4135,2019-01-09T16,Dominion Virginia Power zone,11120,megawatthours
4134,2019-01-09T17,Dominion Virginia Power zone,11026,megawatthours
4133,2019-01-09T18,Dominion Virginia Power zone,10980,megawatthours
4132,2019-01-09T19,Dominion Virginia Power zone,10947,megawatthours
4131,2019-01-09T20,Dominion Virginia Power zone,11053,megawatthours
4130,2019-01-09T21,Dominion Virginia Power zone,11491,megawatthours
4129,2019-01-09T22,Dominion Virginia Power zone,12192,megawatthours
4128,2019-01-09T23,Dominion Virginia Power zone,13276,megawatthours
4127,2019-01-10T00,Dominion Virginia Power zone,13600,megawatthours
4126,2019-01-10T01,Dominion Virginia Power zone,13635,megawatthours
4125,2019-01-10T02,Dominion Virginia Power zone,13558,megawatthours
4124,2019-01-10T03,Dominion Virginia Power zone,13188,megawatthours
4123,2019-01-10T04,Dominion Virginia Power zone,12650,megawatthours
4122,2019-01-10T05,Dominion Virginia Power zone,12068,megawatthours
4121,2019-01-10T06,Dominion Virginia Power zone,11792,megawatthours
4120,2019-01-10T07,Dominion Virginia Power zone,11788,megawatthours
4119,2019-01-10T08,Dominion Virginia Power zone,11983,megawatthours
4118,2019-01-10T09,Dominion Virginia Power zone,12268,megawatthours
