,Date,Hour Starting,period,respondent,fueltype,type-name,value,value-units
192,2024-08-09,0,2024-08-09T01-05,ERCO,COL,Coal,11218,megawatthours
193,2024-08-09,1,2024-08-09T02-05,ERCO,COL,Coal,9186,megawatthours
194,2024-08-09,2,2024-08-09T03-05,ERCO,COL,Coal,8332,megawatthours
195,2024-08-09,3,2024-08-09T04-05,ERCO,COL,Coal,8211,megawatthours
196,2024-08-09,4,2024-08-09T05-05,ERCO,COL,Coal,8353,megawatthours
197,2024-08-09,5,2024-08-09T06-05,ERCO,COL,Coal,8944,megawatthours
198,2024-08-09,6,2024-08-09T07-05,ERCO,COL,Coal,9419,megawatthours
199,2024-08-09,7,2024-08-09T08-05,ERCO,COL,Coal,9296,megawatthours
200,2024-08-09,8,2024-08-09T09-05,ERCO,COL,Coal,7464,megawatthours
201,2024-08-09,9,2024-08-09T10-05,ERCO,COL,Coal,6202,megawatthours
202,2024-08-09,10,2024-08-09T11-05,ERCO,COL,Coal,6125,megawatthours
203,2024-08-09,11,2024-08-09T12-05,ERCO,COL,Coal,6715,megawatthours
204,2024-08-09,12,2024-08-09T13-05,ERCO,COL,Coal,7787,megawatthours
205,2024-08-09,13,2024-08-09T14-05,ERCO,COL,Coal,9080,megawatthours
206,2024-08-09,14,2024-08-09T15-05,ERCO,COL,Coal,9709,megawatthours
207,2024-08-09,15,2024-08-09T16-05,ERCO,COL,Coal,10865,megawatthours
208,2024-08-09,16,2024-08-09T17-05,ERCO,COL,Coal,11451,megawatthours
209,2024-08-09,17,2024-08-09T18-05,ERCO,COL,Coal,11820,megawatthours
210,2024-08-09,18,2024-08-09T19-05,ERCO,COL,Coal,11512,megawatthours
211,2024-08-09,19,2024-08-09T20-05,ERCO,COL,Coal,11481,megawatthours
212,2024-08-09,20,2024-08-09T21-05,ERCO,COL,Coal,11522,megawatthours
213,2024-08-09,21,2024-08-09T22-05,ERCO,COL,Coal,10352,megawatthours
214,2024-08-09,22,2024-08-09T23-05,ERCO,COL,Coal,9640,megawatthours
215,2024-08-09,23,2024-08-10T00-05,ERCO,COL,Coal,9706,megawatthours
216,2024-08-10,0,2024-08-10T01-05,ERCO,COL,Coal,9532,megawatthours
217,2024-08-10,1,2024-08-10T02-05,ERCO,COL,Coal,9987,megawatthours
218,2024-08-10,2,2024-08-10T03-05,ERCO,COL,Coal,9298,megawatthours
219,2024-08-10,3,2024-08-10T04-05,ERCO,COL,Coal,8323,megawatthours
220,2024-08-10,4,2024-08-10T05-05,ERCO,COL,Coal,7945,megawatthours
221,2024-08-10,5,2024-08-10T06-05,ERCO,COL,Coal,7971,megawatthours
222,2024-08-10,6,2024-08-10T07-05,ERCO,COL,Coal,8099,megawatthours
223,2024-08-10,7,2024-08-10T08-05,ERCO,COL,Coal,7931,megawatthours
224,2024-08-10,8,2024-08-10T09-05,ERCO,COL,Coal,6855,megawatthours
225,2024-08-10,9,2024-08-10T10-05,ERCO,COL,Coal,5802,megawatthours
226,2024-08-10,10,2024-08-10T11-05,ERCO,COL,Coal,6588,megawatthours
227,2024-08-10,11,2024-08-10T12-05,ERCO,COL,Coal,8203,megawatthours
228,2024-08-10,12,2024-08-10T13-05,ERCO,COL,Coal,9735,megawatthours
229,2024-08-10,13,2024-08-10T14-05,ERCO,COL,Coal,10465,megawatthours
230,2024-08-10,14,2024-08-10T15-05,ERCO,COL,Coal,10761,megawatthours
231,2024-08-10,15,2024-08-10T16-05,ERCO,COL,Coal,11144,megawatthours
232,2024-08-10,16,2024-08-10T17-05,ERCO,COL,Coal,11181,megawatthours
233,2024-08-10,17,2024-08-10T18-05,ERCO,COL,Coal,11053,megawatthours
234,2024-08-10,18,2024-08-10T19-05,ERCO,COL,Coal,10827,megawatthours
235,2024-08-10,19,2024-08-10T20-05,ERCO,COL,Coal,11173,megawatthours
236,2024-08-10,20,2024-08-10T21-05,ERCO,COL,Coal,11169,megawatthours
237,2024-08-10,21,2024-08-10T22-05,ERCO,COL,Coal,10634,megawatthours
238,2024-08-10,22,2024-08-10T23-05,ERCO,COL,Coal,9214,megawatthours
239,2024-08-10,23,2024-08-11T00-05,ERCO,COL,Coal,7987,megawatthours
240,2024-08-11,0,2024-08-11T01-05,ERCO,COL,Coal,7024,megawatthours
241,2024-08-11,1,2024-08-11T02-05,ERCO,COL,Coal,6291,megawatthours
242,2024-08-11,2,2024-08-11T03-05,ERCO,COL,Coal,5920,megawatthours
243,2024-08-11,3,2024-08-11T04-05,ERCO,COL,Coal,5720,megawatthours
244,2024-08-11,4,2024-08-11T05-05,ERCO,COL,Coal,5730,megawatthours
245,2024-08-11,5,2024-08-11T06-05,ERCO,COL,Coal,5569,megawatthours
