,period,respondent-name,value,value-units
4027,2019-01-14T04,Tennessee,18913,megawatthours
4026,2019-01-14T05,Tennessee,18068,megawatthours
4025,2019-01-14T06,Tennessee,17529,megawatthours
4024,2019-01-14T07,Tennessee,17274,megawatthours
4023,2019-01-14T08,Tennessee,17149,megawatthours
4022,2019-01-14T09,Tennessee,17253,megawatthours
4021,2019-01-14T10,Tennessee,17612,megawatthours
4020,2019-01-14T11,Tennessee,18382,megawatthours
4019,2019-01-14T12,Tennessee,19962,megawatthours
4018,2019-01-14T13,Tennessee,21537,megawatthours
4017,2019-01-14T14,Tennessee,21913,megawatthours
4016,2019-01-14T15,Tennessee,21813,megawatthours
4015,2019-01-14T16,Tennessee,21814,megawatthours
4014,2019-01-14T17,Tennessee,21898,megawatthours
4013,2019-01-14T18,Tennessee,21780,megawatthours
4012,2019-01-14T19,Tennessee,21575,megawatthours
4011,2019-01-14T20,Tennessee,21467,megawatthours
4010,2019-01-14T21,Tennessee,21375,megawatthours
4009,2019-01-14T22,Tennessee,21463,megawatthours
4008,2019-01-14T23,Tennessee,22182,megawatthours
4007,2019-01-15T00,Tennessee,23049,megawatthours
4006,2019-01-15T01,Tennessee,23139,megawatthours
4005,2019-01-15T02,Tennessee,22814,megawatthours
4004,2019-01-15T03,Tennessee,22309,megawatthours
4003,2019-01-15T04,Tennessee,21514,megawatthours
4002,2019-01-15T05,Tennessee,20367,megawatthours
4001,2019-01-15T06,Tennessee,19611,megawatthours
4000,2019-01-15T07,Tennessee,19265,megawatthours
3999,2019-01-15T08,Tennessee,18982,megawatthours
3998,2019-01-15T09,Tennessee,18953,megawatthours
3997,2019-01-15T10,Tennessee,19208,megawatthours
3996,2019-01-15T11,Tennessee,19768,megawatthours
3995,2019-01-15T12,Tennessee,21152,megawatthours
3994,2019-01-15T13,Tennessee,22523,megawatthours
3993,2019-01-15T14,Tennessee,22547,megawatthours
3992,2019-01-15T15,Tennessee,22466,megawatthours
3991,2019-01-15T16,Tennessee,22360,megawatthours
3990,2019-01-15T17,Tennessee,22152,megawatthours
3989,2019-01-15T18,Tennessee,21761,megawatthours
3988,2019-01-15T19,Tennessee,21612,megawatthours
3987,2019-01-15T20,Tennessee,21252,megawatthours
3986,2019-01-15T21,Tennessee,20925,megawatthours
3985,2019-01-15T22,Tennessee,21032,megawatthours
3984,2019-01-15T23,Tennessee,21719,megawatthours
3983,2019-01-16T00,Tennessee,22833,megawatthours
3982,2019-01-16T01,Tennessee,23161,megawatthours
3981,2019-01-16T02,Tennessee,23009,megawatthours
3980,2019-01-16T03,Tennessee,22646,megawatthours
3979,2019-01-16T04,Tennessee,21845,megawatthours
3978,2019-01-16T05,Tennessee,20979,megawatthours
3977,2019-01-16T06,Tennessee,20268,megawatthours
3976,2019-01-16T07,Tennessee,20147,megawatthours
3975,2019-01-16T08,Tennessee,20079,megawatthours
3974,2019-01-16T09,Tennessee,20224,megawatthours
3973,2019-01-16T10,Tennessee,20606,megawatthours
3972,2019-01-16T11,Tennessee,21349,megawatthours
3971,2019-01-16T12,Tennessee,22817,megawatthours
3970,2019-01-16T13,Tennessee,24215,megawatthours
3969,2019-01-16T14,Tennessee,24118,megawatthours
3968,2019-01-16T15,Tennessee,23288,megawatthours
3967,2019-01-16T16,Tennessee,22363,megawatthours
3966,2019-01-16T17,Tennessee,21434,megawatthours
3965,2019-01-16T18,Tennessee,20594,megawatthours
3964,2019-01-16T19,Tennessee,19900,megawatthours
3963,2019-01-16T20,Tennessee,19285,megawatthours
3962,2019-01-16T21,Tennessee,18966,megawatthours
3961,2019-01-16T22,Tennessee,19041,megawatthours
3960,2019-01-16T23,Tennessee,19786,megawatthours
3959,2019-01-17T00,Tennessee,20941,megawatthours
3958,2019-01-17T01,Tennessee,21229,megawatthours
3957,2019-01-17T02,Tennessee,21072,megawatthours
3956,2019-01-17T03,Tennessee,20850,megawatthours
3955,2019-01-17T04,Tennessee,20145,megawatthours
3954,2019-01-17T05,Tennessee,19192,megawatthours
3953,2019-01-17T06,Tennessee,18584,megawatthours
3952,2019-01-17T07,Tennessee,18194,megawatthours
3951,2019-01-17T08,Tennessee,18137,megawatthours
3950,2019-01-17T09,Tennessee,18030,megawatthours
3949,2019-01-17T10,Tennessee,18257,megawatthours
3948,2019-01-17T11,Tennessee,18735,megawatthours
3947,2019-01-17T12,Tennessee,20066,megawatthours
3946,2019-01-17T13,Tennessee,21362,megawatthours
3945,2019-01-17T14,Tennessee,21397,megawatthours
3944,2019-01-17T15,Tennessee,21078,megawatthours
3943,2019-01-17T16,Tennessee,20874,megawatthours
3942,2019-01-17T17,Tennessee,20833,megawatthours
3941,2019-01-17T18,Tennessee,20630,megawatthours
3940,2019-01-17T19,Tennessee,20633,megawatthours
3939,2019-01-17T20,Tennessee,20373,megawatthours
3938,2019-01-17T21,Tennessee,20137,megawatthours
3937,2019-01-17T22,Tennessee,20143,megawatthours
3936,2019-01-17T23,Tennessee,20538,megawatthours
3935,2019-01-18T00,Tennessee,21092,megawatthours
3934,2019-01-18T01,Tennessee,20876,megawatthours
3933,2019-01-18T02,Tennessee,20584,megawatthours
3932,2019-01-18T03,Tennessee,20049,megawatthours
3931,2019-01-18T04,Tennessee,19013,megawatthours
3930,2019-01-18T05,Tennessee,17795,megawatthours
3929,2019-01-18T06,Tennessee,16887,megawatthours
3928,2019-01-18T07,Tennessee,16432,megawatthours
3927,2019-01-18T08,Tennessee,16129,megawatthours
3926,2019-01-18T09,Tennessee,16067,megawatthours
3925,2019-01-18T10,Tennessee,16124,megawatthours
3924,2019-01-18T11,Tennessee,16578,megawatthours
3923,2019-01-18T12,Tennessee,17918,megawatthours
3922,2019-01-18T13,Tennessee,19252,megawatthours
3921,2019-01-18T14,Tennessee,19396,megawatthours
3920,2019-01-18T15,Tennessee,19125,megawatthours
3919,2019-01-18T16,Tennessee,18964,megawatthours
3918,2019-01-18T17,Tennessee,18726,megawatthours
3917,2019-01-18T18,Tennessee,18330,megawatthours
3916,2019-01-18T19,Tennessee,18017,megawatthours
3915,2019-01-18T20,Tennessee,17792,megawatthours
3914,2019-01-18T21,Tennessee,17489,megawatthours
3913,2019-01-18T22,Tennessee,17459,megawatthours
3912,2019-01-18T23,Tennessee,17795,megawatthours
3911,2019-01-19T00,Tennessee,18597,megawatthours
3910,2019-01-19T01,Tennessee,18607,megawatthours
3909,2019-01-19T02,Tennessee,18376,megawatthours
3908,2019-01-19T03,Tennessee,17941,megawatthours
3907,2019-01-19T04,Tennessee,17454,megawatthours
3906,2019-01-19T05,Tennessee,16775,megawatthours
3905,2019-01-19T06,Tennessee,16046,megawatthours
3904,2019-01-19T07,Tennessee,15506,megawatthours
3903,2019-01-19T08,Tennessee,15109,megawatthours
3902,2019-01-19T09,Tennessee,15022,megawatthours
3901,2019-01-19T10,Tennessee,14949,megawatthours
3900,2019-01-19T11,Tennessee,14967,megawatthours
3899,2019-01-19T12,Tennessee,15399,megawatthours
3898,2019-01-19T13,Tennessee,15926,megawatthours
3897,2019-01-19T14,Tennessee,16505,megawatthours
3896,2019-01-19T15,Tennessee,16962,megawatthours
3895,2019-01-19T16,Tennessee,17280,megawatthours
3894,2019-01-19T17,Tennessee,17490,megawatthours
3893,2019-01-19T18,Tennessee,17290,megawatthours
3892,2019-01-19T19,Tennessee,17121,megawatthours
3891,2019-01-19T20,Tennessee,17022,megawatthours
3890,2019-01-19T21,Tennessee,16782,megawatthours
3889,2019-01-19T22,Tennessee,16843,megawatthours
3888,2019-01-19T23,Tennessee,17448,megawatthours
3887,2019-01-20T00,Tennessee,18315,megawatthours
3886,2019-01-20T01,Tennessee,18576,megawatthours
3885,2019-01-20T02,Tennessee,18526,megawatthours
3884,2019-01-20T03,Tennessee,18767,megawatthours
3883,2019-01-20T04,Tennessee,18624,megawatthours
3882,2019-01-20T05,Tennessee,18383,megawatthours
3881,2019-01-20T06,Tennessee,18206,megawatthours
3880,2019-01-20T07,Tennessee,18394,megawatthours
3879,2019-01-20T08,Tennessee,18569,megawatthours
3878,2019-01-20T09,Tennessee,18843,megawatthours
3877,2019-01-20T10,Tennessee,19143,megawatthours
3876,2019-01-20T11,Tennessee,19774,megawatthours
