,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4701,2023-02-09T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,0
4700,2023-02-09T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,1
4699,2023-02-09T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,2
4698,2023-02-09T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,3
4697,2023-02-09T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,4
4696,2023-02-09T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,5
4695,2023-02-09T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,6
4694,2023-02-09T08-06,ERCO,SUN,Solar,400,megawatthours,2023-02-09,7
4693,2023-02-09T09-06,ERCO,SUN,Solar,5483,megawatthours,2023-02-09,8
4692,2023-02-09T10-06,ERCO,SUN,Solar,10198,megawatthours,2023-02-09,9
4691,2023-02-09T11-06,ERCO,SUN,Solar,10565,megawatthours,2023-02-09,10
4690,2023-02-09T12-06,ERCO,SUN,Solar,10555,megawatthours,2023-02-09,11
4689,2023-02-09T13-06,ERCO,SUN,Solar,10435,megawatthours,2023-02-09,12
4688,2023-02-09T14-06,ERCO,SUN,Solar,10415,megawatthours,2023-02-09,13
4687,2023-02-09T15-06,ERCO,SUN,Solar,10445,megawatthours,2023-02-09,14
4686,2023-02-09T16-06,ERCO,SUN,Solar,10151,megawatthours,2023-02-09,15
4685,2023-02-09T17-06,ERCO,SUN,Solar,7823,megawatthours,2023-02-09,16
4684,2023-02-09T18-06,ERCO,SUN,Solar,2919,megawatthours,2023-02-09,17
4683,2023-02-09T19-06,ERCO,SUN,Solar,118,megawatthours,2023-02-09,18
4682,2023-02-09T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,19
4681,2023-02-09T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,20
4680,2023-02-09T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,21
4679,2023-02-09T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,22
4678,2023-02-10T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-09,23
4677,2023-02-10T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,0
4676,2023-02-10T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,1
4675,2023-02-10T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,2
4674,2023-02-10T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,3
4673,2023-02-10T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,4
4672,2023-02-10T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,5
4671,2023-02-10T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,6
4670,2023-02-10T08-06,ERCO,SUN,Solar,233,megawatthours,2023-02-10,7
4669,2023-02-10T09-06,ERCO,SUN,Solar,3479,megawatthours,2023-02-10,8
4668,2023-02-10T10-06,ERCO,SUN,Solar,5513,megawatthours,2023-02-10,9
4667,2023-02-10T11-06,ERCO,SUN,Solar,5069,megawatthours,2023-02-10,10
4666,2023-02-10T12-06,ERCO,SUN,Solar,5025,megawatthours,2023-02-10,11
4665,2023-02-10T13-06,ERCO,SUN,Solar,4709,megawatthours,2023-02-10,12
4664,2023-02-10T14-06,ERCO,SUN,Solar,4003,megawatthours,2023-02-10,13
4663,2023-02-10T15-06,ERCO,SUN,Solar,3421,megawatthours,2023-02-10,14
4662,2023-02-10T16-06,ERCO,SUN,Solar,3283,megawatthours,2023-02-10,15
4661,2023-02-10T17-06,ERCO,SUN,Solar,3280,megawatthours,2023-02-10,16
4660,2023-02-10T18-06,ERCO,SUN,Solar,2372,megawatthours,2023-02-10,17
4659,2023-02-10T19-06,ERCO,SUN,Solar,182,megawatthours,2023-02-10,18
4658,2023-02-10T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,19
4657,2023-02-10T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,20
4656,2023-02-10T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,21
4655,2023-02-10T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,22
4654,2023-02-11T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-10,23
4653,2023-02-11T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,0
4652,2023-02-11T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,1
4651,2023-02-11T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,2
4650,2023-02-11T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,3
4649,2023-02-11T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,4
4648,2023-02-11T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,5
4647,2023-02-11T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-11,6
4646,2023-02-11T08-06,ERCO,SUN,Solar,392,megawatthours,2023-02-11,7
4645,2023-02-11T09-06,ERCO,SUN,Solar,4803,megawatthours,2023-02-11,8
4644,2023-02-11T10-06,ERCO,SUN,Solar,9330,megawatthours,2023-02-11,9
4643,2023-02-11T11-06,ERCO,SUN,Solar,10047,megawatthours,2023-02-11,10
4642,2023-02-11T12-06,ERCO,SUN,Solar,10113,megawatthours,2023-02-11,11
4641,2023-02-11T13-06,ERCO,SUN,Solar,10140,megawatthours,2023-02-11,12
4640,2023-02-11T14-06,ERCO,SUN,Solar,10044,megawatthours,2023-02-11,13
4639,2023-02-11T15-06,ERCO,SUN,Solar,10319,megawatthours,2023-02-11,14
4638,2023-02-11T16-06,ERCO,SUN,Solar,10809,megawatthours,2023-02-11,15
4637,2023-02-11T17-06,ERCO,SUN,Solar,9503,megawatthours,2023-02-11,16
4636,2023-02-11T18-06,ERCO,SUN,Solar,3774,megawatthours,2023-02-11,17
