,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
8/6/22,20,100,100,100,100,100,0
8/7/22,48,100,100,100,100,100,0
8/8/22,100,100,100,100,100,100,0
8/9/22,100,100,100,100,100,100,0
8/10/22,100,100,100,100,100,100,0
8/11/22,100,100,100,100,100,100,0
8/12/22,100,100,100,100,100,100,0
8/13/22,100,100,100,100,100,100,0
8/14/22,100,100,100,100,100,100,0
8/15/22,100,100,100,100,100,100,0
8/16/22,100,100,100,99,100,100,0
8/17/22,100,100,100,100,100,100,0
8/18/22,100,100,100,100,100,100,0
8/19/22,100,100,100,100,100,100,0
8/20/22,100,100,100,100,100,100,0
8/21/22,100,100,100,100,100,100,0
8/22/22,97,100,100,100,100,100,0
8/23/22,97,100,100,100,100,100,0
8/24/22,100,100,100,100,100,100,0
8/25/22,100,100,100,100,100,100,0
8/26/22,100,100,100,100,100,100,0
8/27/22,100,100,100,100,100,100,0
8/28/22,100,100,100,100,100,100,0
8/29/22,97,100,100,100,100,100,0
8/30/22,96,100,100,100,100,100,0
8/31/22,95,100,100,100,100,100,0
9/1/22,94,100,100,100,100,100,0
9/2/22,93,100,100,100,100,100,0
9/3/22,93,100,97,100,100,100,0
9/4/22,93,100,97,100,100,100,0
9/5/22,90,100,90,100,100,100,0
9/6/22,89,100,100,100,100,100,0
9/7/22,88,100,100,100,100,100,0
9/8/22,88,100,100,100,100,100,0
9/9/22,86,100,100,100,100,100,0
9/10/22,86,100,100,96,100,100,0
9/11/22,84,100,100,90,100,100,0
9/12/22,84,100,100,100,100,100,0
9/13/22,82,100,100,96,100,100,0
9/14/22,82,100,100,100,100,100,0
9/15/22,81,100,100,100,100,100,0
9/16/22,80,100,100,100,100,100,0
9/17/22,79,100,100,100,100,100,0
9/18/22,61,100,100,100,100,100,0
9/19/22,0,100,100,100,100,100,0
9/20/22,0,100,100,100,100,100,0
9/21/22,0,100,100,100,100,100,0
9/22/22,0,100,100,100,100,100,0
9/23/22,0,100,100,100,100,100,0
9/24/22,0,100,100,100,100,100,0
9/25/22,0,100,100,100,100,100,0
9/26/22,0,100,100,100,100,100,0
9/27/22,0,100,100,100,100,100,0
9/28/22,0,100,100,100,100,100,0
9/29/22,0,100,100,100,100,100,0
9/30/22,0,100,100,100,100,100,0
10/1/22,0,100,100,100,100,100,0
10/2/22,0,100,100,100,100,100,0
10/3/22,0,100,100,100,100,100,0
10/4/22,0,100,100,100,100,100,0
10/5/22,0,100,100,100,100,100,0
10/6/22,0,100,100,100,100,100,0
10/7/22,0,100,100,100,100,100,0
10/8/22,0,100,100,100,100,100,0
10/9/22,0,100,100,100,100,100,0
10/10/22,0,100,100,0,100,100,0
10/11/22,0,100,100,0,100,100,0
10/12/22,0,100,100,0,100,100,0
