BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NEVP,2/5/2022 11 a.m. PST,29,1396,2,434,0,942,195,0
NEVP,2/5/2022 12 p.m. PST,28,1335,2,430,0,943,196,0
NEVP,2/5/2022 1 p.m. PST,29,1353,2,422,0,937,196,0
NEVP,2/5/2022 2 p.m. PST,18,1364,2,411,0,976,211,0
NEVP,2/5/2022 3 p.m. PST,14,1326,2,406,0,1115,251,0
NEVP,2/5/2022 4 p.m. PST,21,1003,2,397,0,1525,289,0
NEVP,2/5/2022 5 p.m. PST,14,296,2,386,0,2008,329,0
NEVP,2/5/2022 6 p.m. PST,17,42,2,395,0,2521,323,0
NEVP,2/5/2022 7 p.m. PST,4,45,2,408,0,2651,329,0
NEVP,2/5/2022 8 p.m. PST,2,53,2,414,0,2541,330,0
NEVP,2/5/2022 9 p.m. PST,4,48,2,421,0,2648,330,0
NEVP,2/5/2022 10 p.m. PST,3,30,2,425,0,2655,330,0
NEVP,2/5/2022 11 p.m. PST,3,27,2,426,0,2567,321,0
NEVP,2/6/2022 12 a.m. PST,5,27,2,427,0,2467,321,0
NEVP,2/6/2022 1 a.m. PST,15,27,2,429,0,2506,321,0
NEVP,2/6/2022 2 a.m. PST,42,28,2,427,0,2471,320,0
NEVP,2/6/2022 3 a.m. PST,70,27,2,428,0,2473,319,0
NEVP,2/6/2022 4 a.m. PST,87,27,2,432,0,2522,319,0
NEVP,2/6/2022 5 a.m. PST,102,27,2,432,0,2485,319,0
NEVP,2/6/2022 6 a.m. PST,105,27,2,430,0,2545,318,0
NEVP,2/6/2022 7 a.m. PST,130,34,2,430,0,2535,328,0
NEVP,2/6/2022 8 a.m. PST,110,513,2,429,0,2182,313,0
NEVP,2/6/2022 9 a.m. PST,83,1346,2,432,0,1281,256,0
NEVP,2/6/2022 10 a.m. PST,96,1575,2,436,0,994,205,0
NEVP,2/6/2022 11 a.m. PST,130,1508,2,427,0,969,208,0
NEVP,2/6/2022 12 p.m. PST,138,1491,2,423,0,912,198,0
NEVP,2/6/2022 1 p.m. PST,149,1480,2,420,0,961,185,0
NEVP,2/6/2022 2 p.m. PST,139,1532,2,411,0,907,192,0
NEVP,2/6/2022 3 p.m. PST,109,1593,2,406,0,959,212,0
NEVP,2/6/2022 4 p.m. PST,77,1318,2,399,0,1183,248,0
NEVP,2/6/2022 5 p.m. PST,79,412,2,387,0,1723,312,0
NEVP,2/6/2022 6 p.m. PST,52,67,2,390,0,2462,348,0
NEVP,2/6/2022 7 p.m. PST,19,69,2,400,0,2694,350,0
NEVP,2/6/2022 8 p.m. PST,9,69,2,404,0,2744,348,0
NEVP,2/6/2022 9 p.m. PST,10,64,2,412,0,2625,348,0
NEVP,2/6/2022 10 p.m. PST,13,46,2,414,0,2537,348,0
NEVP,2/6/2022 11 p.m. PST,2,47,2,419,0,2529,338,0
NEVP,2/7/2022 12 a.m. PST,0,47,2,425,0,2504,327,0
NEVP,2/7/2022 1 a.m. PST,0,47,2,427,0,2526,321,0
NEVP,2/7/2022 2 a.m. PST,0,47,2,431,0,2523,321,0
NEVP,2/7/2022 3 a.m. PST,0,47,2,429,0,2573,320,0
NEVP,2/7/2022 4 a.m. PST,0,48,2,426,0,2495,320,0
NEVP,2/7/2022 5 a.m. PST,0,47,2,423,0,2599,320,0
NEVP,2/7/2022 6 a.m. PST,0,47,2,423,0,2716,333,0
NEVP,2/7/2022 7 a.m. PST,0,56,2,424,0,2787,350,0
NEVP,2/7/2022 8 a.m. PST,0,566,2,425,0,2453,335,0
NEVP,2/7/2022 9 a.m. PST,0,1364,2,430,0,1343,277,0
NEVP,2/7/2022 10 a.m. PST,0,1592,2,427,0,1177,222,0
NEVP,2/7/2022 11 a.m. PST,0,1514,2,420,0,1141,203,0
NEVP,2/7/2022 12 p.m. PST,0,1497,2,414,0,953,202,0
NEVP,2/7/2022 1 p.m. PST,0,1507,2,410,0,934,198,0
NEVP,2/7/2022 2 p.m. PST,0,1550,2,403,0,1052,196,0
NEVP,2/7/2022 3 p.m. PST,0,1576,2,395,0,1147,213,0
NEVP,2/7/2022 4 p.m. PST,0,1340,2,384,0,1597,225,0
NEVP,2/7/2022 5 p.m. PST,0,432,2,369,0,2413,133,0
NEVP,2/7/2022 6 p.m. PST,0,47,2,377,0,2813,136,0
NEVP,2/7/2022 7 p.m. PST,0,64,2,387,0,2968,135,0
NEVP,2/7/2022 8 p.m. PST,0,70,2,396,0,2885,189,0
NEVP,2/7/2022 9 p.m. PST,0,70,2,403,0,2738,245,0
NEVP,2/7/2022 10 p.m. PST,1,70,2,411,0,2698,282,0
NEVP,2/7/2022 11 p.m. PST,0,47,2,413,0,2787,284,0
NEVP,2/8/2022 12 a.m. PST,0,47,2,418,0,2771,280,0
NEVP,2/8/2022 1 a.m. PST,2,47,2,420,0,2748,227,0
NEVP,2/8/2022 2 a.m. PST,4,47,2,423,0,2733,215,0
NEVP,2/8/2022 3 a.m. PST,3,47,2,426,0,2704,215,0
NEVP,2/8/2022 4 a.m. PST,0,47,2,426,0,2756,215,0
NEVP,2/8/2022 5 a.m. PST,1,47,2,425,0,2713,217,0
NEVP,2/8/2022 6 a.m. PST,4,47,2,423,0,2723,216,0
NEVP,2/8/2022 7 a.m. PST,6,58,2,415,0,2774,241,0
NEVP,2/8/2022 8 a.m. PST,7,573,2,416,0,2418,242,0
NEVP,2/8/2022 9 a.m. PST,14,1376,2,412,0,1495,219,0
NEVP,2/8/2022 10 a.m. PST,12,1564,2,415,0,1265,215,0
NEVP,2/8/2022 11 a.m. PST,18,1521,2,406,0,951,214,0
NEVP,2/8/2022 12 p.m. PST,63,1443,2,387,0,809,208,0
NEVP,2/8/2022 1 p.m. PST,108,1488,2,392,0,912,214,0
NEVP,2/8/2022 2 p.m. PST,54,1534,2,382,0,982,213,0
NEVP,2/8/2022 3 p.m. PST,61,1584,2,378,0,1080,213,0
NEVP,2/8/2022 4 p.m. PST,67,1343,2,376,0,1485,212,0
NEVP,2/8/2022 5 p.m. PST,22,452,2,367,0,2269,228,0
NEVP,2/8/2022 6 p.m. PST,8,100,2,373,0,2822,268,0
NEVP,2/8/2022 7 p.m. PST,5,95,2,387,0,2804,308,0
NEVP,2/8/2022 8 p.m. PST,3,69,2,393,0,2737,308,0
NEVP,2/8/2022 9 p.m. PST,2,63,2,395,0,2609,263,0
NEVP,2/8/2022 10 p.m. PST,3,59,2,401,0,2467,230,0
NEVP,2/8/2022 11 p.m. PST,0,47,2,408,0,2484,214,0
NEVP,2/9/2022 12 a.m. PST,0,47,2,412,0,2542,120,0
NEVP,2/9/2022 1 a.m. PST,0,47,2,416,0,2744,80,0
NEVP,2/9/2022 2 a.m. PST,0,47,2,418,0,2679,80,0
