"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/8/2022 7 a.m. PDT",1,1,0,181,1270,421
LDWP,"10/8/2022 8 a.m. PDT",1,182,0,180,1268,421
LDWP,"10/8/2022 9 a.m. PDT",0,645,0,163,902,422
LDWP,"10/8/2022 10 a.m. PDT",0,903,0,109,565,423
LDWP,"10/8/2022 11 a.m. PDT",0,977,0,108,441,423
LDWP,"10/8/2022 12 p.m. PDT",0,990,0,107,581,423
LDWP,"10/8/2022 1 p.m. PDT",0,984,0,106,755,422
LDWP,"10/8/2022 2 p.m. PDT",1,978,0,153,1029,422
LDWP,"10/8/2022 3 p.m. PDT",2,949,0,183,1444,446
LDWP,"10/8/2022 4 p.m. PDT",9,780,0,213,1466,650
LDWP,"10/8/2022 5 p.m. PDT",17,587,0,231,1479,838
LDWP,"10/8/2022 6 p.m. PDT",6,171,0,236,1507,1032
LDWP,"10/8/2022 7 p.m. PDT",6,2,0,229,1764,975
LDWP,"10/8/2022 8 p.m. PDT",17,0,0,220,1622,806
LDWP,"10/8/2022 9 p.m. PDT",15,0,0,220,1497,1014
LDWP,"10/8/2022 10 p.m. PDT",6,0,0,230,1493,1042
LDWP,"10/8/2022 11 p.m. PDT",5,0,0,239,1492,903
LDWP,"10/9/2022 12 a.m. PDT",8,0,0,231,1471,736
LDWP,"10/9/2022 1 a.m. PDT",15,0,0,225,1297,720
LDWP,"10/9/2022 2 a.m. PDT",16,0,0,214,1266,597
LDWP,"10/9/2022 3 a.m. PDT",12,0,0,212,1272,553
LDWP,"10/9/2022 4 a.m. PDT",7,0,0,208,1273,544
LDWP,"10/9/2022 5 a.m. PDT",9,0,0,208,1271,534
LDWP,"10/9/2022 6 a.m. PDT",6,0,0,209,1272,515
LDWP,"10/9/2022 7 a.m. PDT",16,1,0,211,1275,520
LDWP,"10/9/2022 8 a.m. PDT",16,172,1,194,1273,432
LDWP,"10/9/2022 9 a.m. PDT",5,625,0,144,901,424
LDWP,"10/9/2022 10 a.m. PDT",1,893,0,103,527,424
LDWP,"10/9/2022 11 a.m. PDT",4,974,0,106,473,423
LDWP,"10/9/2022 12 p.m. PDT",46,989,0,107,581,423
LDWP,"10/9/2022 1 p.m. PDT",22,986,0,112,739,422
LDWP,"10/9/2022 2 p.m. PDT",0,976,0,133,808,421
LDWP,"10/9/2022 3 p.m. PDT",0,942,0,199,948,455
LDWP,"10/9/2022 4 p.m. PDT",0,850,182,225,985,736
LDWP,"10/9/2022 5 p.m. PDT",0,638,189,231,1099,1011
LDWP,"10/9/2022 6 p.m. PDT",15,142,185,232,1297,1220
LDWP,"10/9/2022 7 p.m. PDT",24,3,184,242,1400,1232
LDWP,"10/9/2022 8 p.m. PDT",29,0,185,238,1401,1242
LDWP,"10/9/2022 9 p.m. PDT",6,0,185,228,1338,1246
LDWP,"10/9/2022 10 p.m. PDT",1,0,183,229,1305,1246
LDWP,"10/9/2022 11 p.m. PDT",2,0,0,232,1307,1137
LDWP,"10/10/2022 12 a.m. PDT",4,0,0,230,1304,938
LDWP,"10/10/2022 1 a.m. PDT",7,0,0,222,1122,617
LDWP,"10/10/2022 2 a.m. PDT",8,0,0,215,1061,453
LDWP,"10/10/2022 3 a.m. PDT",7,0,0,211,1264,428
LDWP,"10/10/2022 4 a.m. PDT",5,0,0,203,1272,428
LDWP,"10/10/2022 5 a.m. PDT",5,0,0,205,1272,430
LDWP,"10/10/2022 6 a.m. PDT",8,0,0,207,1273,426
LDWP,"10/10/2022 7 a.m. PDT",10,1,0,206,1273,424
LDWP,"10/10/2022 8 a.m. PDT",5,174,0,203,1271,423
LDWP,"10/10/2022 9 a.m. PDT",0,613,0,188,1270,423
LDWP,"10/10/2022 10 a.m. PDT",0,872,0,176,1104,423
LDWP,"10/10/2022 11 a.m. PDT",0,939,0,164,916,423
LDWP,"10/10/2022 12 p.m. PDT",0,986,0,99,805,423
LDWP,"10/10/2022 1 p.m. PDT",1,980,0,107,838,419
LDWP,"10/10/2022 2 p.m. PDT",1,955,0,131,862,445
LDWP,"10/10/2022 3 p.m. PDT",5,854,0,201,1011,637
LDWP,"10/10/2022 4 p.m. PDT",10,726,1,225,1040,794
LDWP,"10/10/2022 5 p.m. PDT",19,403,206,240,1226,980
LDWP,"10/10/2022 6 p.m. PDT",33,67,185,222,1173,1055
LDWP,"10/10/2022 7 p.m. PDT",3,0,185,182,1207,773
LDWP,"10/10/2022 8 p.m. PDT",3,0,186,190,1298,530
LDWP,"10/10/2022 9 p.m. PDT",0,0,186,213,1264,653
LDWP,"10/10/2022 10 p.m. PDT",18,0,191,231,556,895
LDWP,"10/10/2022 11 p.m. PDT",44,0,4,232,1265,751
LDWP,"10/11/2022 12 a.m. PDT",39,0,0,227,1265,592
LDWP,"10/11/2022 1 a.m. PDT",38,0,0,209,1255,477
LDWP,"10/11/2022 2 a.m. PDT",39,0,0,153,1008,401
LDWP,"10/11/2022 3 a.m. PDT",47,0,0,133,979,398
LDWP,"10/11/2022 4 a.m. PDT",63,0,0,130,981,397
LDWP,"10/11/2022 5 a.m. PDT",71,0,0,179,1011,387
LDWP,"10/11/2022 6 a.m. PDT",71,0,0,201,1017,385
LDWP,"10/11/2022 7 a.m. PDT",68,1,0,209,1018,475
LDWP,"10/11/2022 8 a.m. PDT",56,163,0,202,1018,511
LDWP,"10/11/2022 9 a.m. PDT",37,626,0,163,967,435
LDWP,"10/11/2022 10 a.m. PDT",36,897,0,120,754,427
LDWP,"10/11/2022 11 a.m. PDT",45,973,0,120,663,425
LDWP,"10/11/2022 12 p.m. PDT",9,991,0,122,776,424
LDWP,"10/11/2022 1 p.m. PDT",1,984,0,134,667,423
LDWP,"10/11/2022 2 p.m. PDT",8,974,0,138,700,421
LDWP,"10/11/2022 3 p.m. PDT",9,934,0,146,866,421
LDWP,"10/11/2022 4 p.m. PDT",7,849,0,182,996,548
LDWP,"10/11/2022 5 p.m. PDT",8,573,184,221,1007,719
LDWP,"10/11/2022 6 p.m. PDT",3,185,186,235,1184,944
LDWP,"10/11/2022 7 p.m. PDT",24,2,186,216,1261,933
LDWP,"10/11/2022 8 p.m. PDT",49,0,187,191,1260,818
LDWP,"10/11/2022 9 p.m. PDT",53,0,185,192,1238,873
LDWP,"10/11/2022 10 p.m. PDT",47,0,47,198,1231,908
LDWP,"10/11/2022 11 p.m. PDT",39,0,0,239,1265,949
LDWP,"10/12/2022 12 a.m. PDT",5,0,0,232,1266,767
LDWP,"10/12/2022 1 a.m. PDT",6,0,0,223,1267,765
LDWP,"10/12/2022 2 a.m. PDT",10,0,0,219,1267,537
LDWP,"10/12/2022 3 a.m. PDT",12,0,0,207,1268,470
LDWP,"10/12/2022 4 a.m. PDT",8,0,0,207,1269,542
LDWP,"10/12/2022 5 a.m. PDT",4,0,0,213,1268,570
LDWP,"10/12/2022 6 a.m. PDT",3,0,0,216,1270,648
LDWP,"10/12/2022 7 a.m. PDT",1,0,0,229,1267,783
LDWP,"10/12/2022 8 a.m. PDT",1,158,0,227,1217,822
LDWP,"10/12/2022 9 a.m. PDT",0,616,0,171,884,666
LDWP,"10/12/2022 10 a.m. PDT",0,890,0,120,729,624
LDWP,"10/12/2022 11 a.m. PDT",8,968,0,122,734,483
LDWP,"10/12/2022 12 p.m. PDT",37,987,0,126,643,533
LDWP,"10/12/2022 1 p.m. PDT",61,981,0,137,541,646
LDWP,"10/12/2022 2 p.m. PDT",84,969,0,158,737,593
LDWP,"10/12/2022 3 p.m. PDT",49,935,0,230,907,750
LDWP,"10/12/2022 4 p.m. PDT",46,707,183,233,1105,876
LDWP,"10/12/2022 5 p.m. PDT",49,449,188,239,1104,1116
LDWP,"10/12/2022 6 p.m. PDT",53,86,188,244,1235,1219
LDWP,"10/12/2022 7 p.m. PDT",45,2,241,233,1293,1217
LDWP,"10/12/2022 8 p.m. PDT",26,0,292,228,1218,965
LDWP,"10/12/2022 9 p.m. PDT",43,0,292,224,1274,648
LDWP,"10/12/2022 10 p.m. PDT",66,0,292,220,1219,436
LDWP,"10/12/2022 11 p.m. PDT",62,0,293,236,1251,439
LDWP,"10/13/2022 12 a.m. PDT",16,0,292,224,1188,430
LDWP,"10/13/2022 1 a.m. PDT",13,0,336,215,1114,426
LDWP,"10/13/2022 2 a.m. PDT",10,0,308,217,1112,428
LDWP,"10/13/2022 3 a.m. PDT",8,0,108,205,1015,426
LDWP,"10/13/2022 4 a.m. PDT",6,0,107,200,1025,421
LDWP,"10/13/2022 5 a.m. PDT",5,0,107,209,1090,420
LDWP,"10/13/2022 6 a.m. PDT",3,0,107,218,1104,528
LDWP,"10/13/2022 7 a.m. PDT",0,0,107,217,1125,744
