"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"12/6/2022 6 p.m. EST",28,43,974,0,2270,603,2839
CPLE,"12/6/2022 7 p.m. EST",30,41,972,0,2228,418,2848
CPLE,"12/6/2022 8 p.m. EST",28,43,973,0,2246,340,2859
CPLE,"12/6/2022 9 p.m. EST",-2,41,977,0,2013,301,2876
CPLE,"12/6/2022 10 p.m. EST",-3,42,934,0,1974,172,2879
CPLE,"12/6/2022 11 p.m. EST",-1,43,934,0,1871,121,2889
CPLE,"12/7/2022 12 a.m. EST",-3,41,908,0,1440,124,2890
CPLE,"12/7/2022 1 a.m. EST",-4,42,845,-1,1430,120,2893
CPLE,"12/7/2022 2 a.m. EST",0,43,825,0,1413,122,2894
CPLE,"12/7/2022 3 a.m. EST",0,44,827,0,1429,124,2895
CPLE,"12/7/2022 4 a.m. EST",-1,39,867,0,1434,120,2896
CPLE,"12/7/2022 5 a.m. EST",-1,44,897,-1,1446,124,2899
CPLE,"12/7/2022 6 a.m. EST",-2,42,894,-1,1680,131,2896
CPLE,"12/7/2022 7 a.m. EST",-4,42,894,-1,1686,231,2895
CPLE,"12/7/2022 8 a.m. EST",79,39,889,-1,1767,227,2898
CPLE,"12/7/2022 9 a.m. EST",350,34,891,0,1765,159,2897
CPLE,"12/7/2022 10 a.m. EST",548,33,889,-2,1759,254,2887
CPLE,"12/7/2022 11 a.m. EST",627,32,904,0,1781,218,2889
CPLE,"12/7/2022 12 p.m. EST",560,34,914,-1,1784,133,2892
CPLE,"12/7/2022 1 p.m. EST",533,34,914,-1,1781,132,2893
CPLE,"12/7/2022 2 p.m. EST",549,33,909,0,1747,131,2893
CPLE,"12/7/2022 3 p.m. EST",323,34,902,-1,1840,132,2887
CPLE,"12/7/2022 4 p.m. EST",199,34,908,-1,1907,134,2887
CPLE,"12/7/2022 5 p.m. EST",65,33,917,0,1892,163,2883
CPLE,"12/7/2022 6 p.m. EST",19,32,910,0,2028,290,2884
CPLE,"12/7/2022 7 p.m. EST",17,31,907,-1,2074,559,2883
CPLE,"12/7/2022 8 p.m. EST",18,33,906,0,2016,603,2883
CPLE,"12/7/2022 9 p.m. EST",-2,35,923,0,1945,458,2883
CPLE,"12/7/2022 10 p.m. EST",-3,34,921,0,1948,359,2884
CPLE,"12/7/2022 11 p.m. EST",-1,33,910,0,1617,334,2880
CPLE,"12/8/2022 12 a.m. EST",-3,34,826,0,1241,267,2883
CPLE,"12/8/2022 1 a.m. EST",0,33,845,0,1245,181,2886
CPLE,"12/8/2022 2 a.m. EST",-1,32,849,0,1264,160,2882
CPLE,"12/8/2022 3 a.m. EST",-1,34,841,0,1239,155,2886
CPLE,"12/8/2022 4 a.m. EST",-2,34,844,0,1260,116,2883
CPLE,"12/8/2022 5 a.m. EST",-3,34,870,0,1268,132,2887
CPLE,"12/8/2022 6 a.m. EST",-4,33,917,0,1248,209,2883
CPLE,"12/8/2022 7 a.m. EST",0,34,938,0,1434,225,2886
CPLE,"12/8/2022 8 a.m. EST",50,33,973,0,1788,207,2887
CPLE,"12/8/2022 9 a.m. EST",245,33,973,0,1800,103,2887
CPLE,"12/8/2022 10 a.m. EST",532,33,958,-1,1796,0,2884
CPLE,"12/8/2022 11 a.m. EST",800,34,898,-1,1699,-26,2889
CPLE,"12/8/2022 12 p.m. EST",894,33,895,-1,1716,-29,2883
CPLE,"12/8/2022 1 p.m. EST",808,34,899,-1,1760,-26,2883
CPLE,"12/8/2022 2 p.m. EST",618,34,905,0,1802,-27,2886
CPLE,"12/8/2022 3 p.m. EST",357,32,920,0,1976,-26,2883
CPLE,"12/8/2022 4 p.m. EST",228,34,911,0,2091,-27,2884
CPLE,"12/8/2022 5 p.m. EST",62,31,903,0,2112,-24,2883
CPLE,"12/8/2022 6 p.m. EST",26,36,940,0,2119,-27,2887
CPLE,"12/8/2022 7 p.m. EST",27,34,970,0,2076,-28,2886
CPLE,"12/8/2022 8 p.m. EST",29,34,969,0,2121,-24,2888
CPLE,"12/8/2022 9 p.m. EST",-1,33,1000,0,2157,-27,2887
CPLE,"12/8/2022 10 p.m. EST",-1,33,990,0,2114,-26,2888
CPLE,"12/8/2022 11 p.m. EST",-2,34,920,0,1809,-25,2890
CPLE,"12/9/2022 12 a.m. EST",-4,33,937,0,1795,-25,2890
CPLE,"12/9/2022 1 a.m. EST",-2,30,957,0,1834,-26,2890
CPLE,"12/9/2022 2 a.m. EST",-2,9,967,0,1588,-21,2890
CPLE,"12/9/2022 3 a.m. EST",0,10,942,0,1551,-20,2883
CPLE,"12/9/2022 4 a.m. EST",-1,9,908,0,1589,-21,2902
CPLE,"12/9/2022 5 a.m. EST",-3,9,906,-1,1601,-22,2893
CPLE,"12/9/2022 6 a.m. EST",-4,10,905,-1,1562,-22,2892
CPLE,"12/9/2022 7 a.m. EST",-1,23,967,-1,1720,-19,2894
CPLE,"12/9/2022 8 a.m. EST",50,35,986,-1,1886,-22,2895
CPLE,"12/9/2022 9 a.m. EST",239,36,994,56,1880,-23,2897
CPLE,"12/9/2022 10 a.m. EST",480,34,991,105,1885,-20,2896
CPLE,"12/9/2022 11 a.m. EST",758,35,991,79,1866,-23,2894
CPLE,"12/9/2022 12 p.m. EST",953,35,992,0,1839,-21,2898
CPLE,"12/9/2022 1 p.m. EST",1186,34,982,0,1823,-20,2894
CPLE,"12/9/2022 2 p.m. EST",971,35,976,0,1823,-21,2892
CPLE,"12/9/2022 3 p.m. EST",623,35,980,0,1834,-20,2895
CPLE,"12/9/2022 4 p.m. EST",379,36,965,0,1852,-20,2891
CPLE,"12/9/2022 5 p.m. EST",102,34,977,0,1970,-19,2892
CPLE,"12/9/2022 6 p.m. EST",31,35,990,0,2191,-21,2895
CPLE,"12/9/2022 7 p.m. EST",28,36,993,0,2223,-19,2892
CPLE,"12/9/2022 8 p.m. EST",28,33,991,0,2229,-21,2896
CPLE,"12/9/2022 9 p.m. EST",0,35,1021,-1,2243,-21,2897
CPLE,"12/9/2022 10 p.m. EST",-4,36,1023,-1,2243,-20,2814
CPLE,"12/9/2022 11 p.m. EST",-2,34,1018,-1,2243,-19,2587
CPLE,"12/10/2022 12 a.m. EST",-1,11,1019,0,1889,-20,2574
CPLE,"12/10/2022 1 a.m. EST",-1,10,1006,0,1513,-21,2600
CPLE,"12/10/2022 2 a.m. EST",0,5,1007,0,1552,-21,2608
CPLE,"12/10/2022 3 a.m. EST",-1,10,1012,0,1556,-21,2610
CPLE,"12/10/2022 4 a.m. EST",-4,14,1010,0,1566,-20,2601
CPLE,"12/10/2022 5 a.m. EST",-3,9,1010,0,1561,-20,2618
CPLE,"12/10/2022 6 a.m. EST",-4,10,1012,0,1559,-22,2696
CPLE,"12/10/2022 7 a.m. EST",-3,11,1004,0,1611,-22,2702
CPLE,"12/10/2022 8 a.m. EST",70,34,963,-1,1655,-20,2710
CPLE,"12/10/2022 9 a.m. EST",418,33,977,-1,1697,-21,2714
CPLE,"12/10/2022 10 a.m. EST",766,35,979,-1,1698,-20,2722
CPLE,"12/10/2022 11 a.m. EST",1054,33,976,-1,1642,-21,2740
CPLE,"12/10/2022 12 p.m. EST",1331,34,970,0,1636,-22,2754
CPLE,"12/10/2022 1 p.m. EST",1331,34,972,0,1671,-19,2766
CPLE,"12/10/2022 2 p.m. EST",1083,34,977,0,1641,-20,2781
CPLE,"12/10/2022 3 p.m. EST",727,34,952,0,1592,-20,2788
CPLE,"12/10/2022 4 p.m. EST",342,34,949,0,1577,-22,2803
CPLE,"12/10/2022 5 p.m. EST",73,35,964,0,1656,-20,2814
CPLE,"12/10/2022 6 p.m. EST",28,33,1018,0,1845,-19,2831
CPLE,"12/10/2022 7 p.m. EST",28,35,1052,0,1837,-21,2843
CPLE,"12/10/2022 8 p.m. EST",27,35,1133,0,1968,-21,2852
CPLE,"12/10/2022 9 p.m. EST",-2,33,1171,0,1906,-21,2864
CPLE,"12/10/2022 10 p.m. EST",-3,36,1110,0,1749,-21,2875
CPLE,"12/10/2022 11 p.m. EST",-2,33,1082,0,1721,-19,2877
CPLE,"12/11/2022 12 a.m. EST",-1,12,1038,0,1730,-19,2887
CPLE,"12/11/2022 1 a.m. EST",0,9,1036,-3,1703,-22,2894
CPLE,"12/11/2022 2 a.m. EST",-4,11,1039,0,1738,-21,2895
CPLE,"12/11/2022 3 a.m. EST",-3,10,1038,0,1735,-21,2894
CPLE,"12/11/2022 4 a.m. EST",0,9,1033,0,1710,-20,2893
CPLE,"12/11/2022 5 a.m. EST",-1,10,1031,0,1729,-21,2895
CPLE,"12/11/2022 6 a.m. EST",-3,18,1037,0,1731,-22,2895
CPLE,"12/11/2022 7 a.m. EST",-1,14,1044,0,1669,-21,2894
CPLE,"12/11/2022 8 a.m. EST",46,42,1039,0,1616,-21,2894
