,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4775,2023-12-06T16-06,ERCO,WND,Wind,11573,megawatthours,2023-12-06,15
4774,2023-12-06T16-06,ERCO,SUN,Solar,8896,megawatthours,2023-12-06,15
4772,2023-12-06T17-06,ERCO,WND,Wind,12298,megawatthours,2023-12-06,16
4770,2023-12-06T17-06,ERCO,NG,Natural Gas,17486,megawatthours,2023-12-06,16
4771,2023-12-06T17-06,ERCO,SUN,Solar,3846,megawatthours,2023-12-06,16
4769,2023-12-06T18-06,ERCO,WND,Wind,13432,megawatthours,2023-12-06,17
4768,2023-12-06T18-06,ERCO,SUN,Solar,282,megawatthours,2023-12-06,17
4767,2023-12-06T18-06,ERCO,NG,Natural Gas,19784,megawatthours,2023-12-06,17
4766,2023-12-06T19-06,ERCO,WND,Wind,17542,megawatthours,2023-12-06,18
4765,2023-12-06T19-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,18
4764,2023-12-06T19-06,ERCO,NG,Natural Gas,18635,megawatthours,2023-12-06,18
4763,2023-12-06T20-06,ERCO,WND,Wind,20893,megawatthours,2023-12-06,19
4762,2023-12-06T20-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,19
4761,2023-12-06T20-06,ERCO,NG,Natural Gas,16471,megawatthours,2023-12-06,19
4760,2023-12-06T21-06,ERCO,WND,Wind,21238,megawatthours,2023-12-06,20
4759,2023-12-06T21-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,20
4758,2023-12-06T21-06,ERCO,NG,Natural Gas,15699,megawatthours,2023-12-06,20
4755,2023-12-06T22-06,ERCO,NG,Natural Gas,14137,megawatthours,2023-12-06,21
4757,2023-12-06T22-06,ERCO,WND,Wind,21322,megawatthours,2023-12-06,21
4756,2023-12-06T22-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,21
4754,2023-12-06T23-06,ERCO,WND,Wind,21604,megawatthours,2023-12-06,22
4753,2023-12-06T23-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,22
4752,2023-12-06T23-06,ERCO,NG,Natural Gas,12047,megawatthours,2023-12-06,22
4751,2023-12-07T00-06,ERCO,WND,Wind,21943,megawatthours,2023-12-06,23
4750,2023-12-07T00-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,23
4749,2023-12-07T00-06,ERCO,NG,Natural Gas,10065,megawatthours,2023-12-06,23
4748,2023-12-07T01-06,ERCO,WND,Wind,21544,megawatthours,2023-12-07,0
4747,2023-12-07T01-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,0
4746,2023-12-07T01-06,ERCO,NG,Natural Gas,9034,megawatthours,2023-12-07,0
4745,2023-12-07T02-06,ERCO,WND,Wind,21661,megawatthours,2023-12-07,1
4744,2023-12-07T02-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,1
4743,2023-12-07T02-06,ERCO,NG,Natural Gas,8365,megawatthours,2023-12-07,1
4742,2023-12-07T03-06,ERCO,WND,Wind,21611,megawatthours,2023-12-07,2
4741,2023-12-07T03-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,2
4740,2023-12-07T03-06,ERCO,NG,Natural Gas,8160,megawatthours,2023-12-07,2
4737,2023-12-07T04-06,ERCO,NG,Natural Gas,8318,megawatthours,2023-12-07,3
4738,2023-12-07T04-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,3
4739,2023-12-07T04-06,ERCO,WND,Wind,21393,megawatthours,2023-12-07,3
4736,2023-12-07T05-06,ERCO,WND,Wind,21503,megawatthours,2023-12-07,4
4735,2023-12-07T05-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,4
4734,2023-12-07T05-06,ERCO,NG,Natural Gas,9179,megawatthours,2023-12-07,4
4733,2023-12-07T06-06,ERCO,WND,Wind,22052,megawatthours,2023-12-07,5
4732,2023-12-07T06-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,5
4731,2023-12-07T06-06,ERCO,NG,Natural Gas,10741,megawatthours,2023-12-07,5
4730,2023-12-07T07-06,ERCO,WND,Wind,22953,megawatthours,2023-12-07,6
4729,2023-12-07T07-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,6
4728,2023-12-07T07-06,ERCO,NG,Natural Gas,11390,megawatthours,2023-12-07,6
4727,2023-12-07T08-06,ERCO,WND,Wind,23142,megawatthours,2023-12-07,7
4726,2023-12-07T08-06,ERCO,SUN,Solar,437,megawatthours,2023-12-07,7
4725,2023-12-07T08-06,ERCO,NG,Natural Gas,11379,megawatthours,2023-12-07,7
4724,2023-12-07T09-06,ERCO,WND,Wind,22694,megawatthours,2023-12-07,8
4723,2023-12-07T09-06,ERCO,SUN,Solar,3541,megawatthours,2023-12-07,8
4722,2023-12-07T09-06,ERCO,NG,Natural Gas,10432,megawatthours,2023-12-07,8
4721,2023-12-07T10-06,ERCO,WND,Wind,21615,megawatthours,2023-12-07,9
4720,2023-12-07T10-06,ERCO,SUN,Solar,6089,megawatthours,2023-12-07,9
4719,2023-12-07T10-06,ERCO,NG,Natural Gas,9068,megawatthours,2023-12-07,9
4718,2023-12-07T11-06,ERCO,WND,Wind,22941,megawatthours,2023-12-07,10
4717,2023-12-07T11-06,ERCO,SUN,Solar,5871,megawatthours,2023-12-07,10
4716,2023-12-07T11-06,ERCO,NG,Natural Gas,7463,megawatthours,2023-12-07,10
4713,2023-12-07T12-06,ERCO,NG,Natural Gas,6952,megawatthours,2023-12-07,11
4714,2023-12-07T12-06,ERCO,SUN,Solar,5734,megawatthours,2023-12-07,11
4715,2023-12-07T12-06,ERCO,WND,Wind,23508,megawatthours,2023-12-07,11
4712,2023-12-07T13-06,ERCO,WND,Wind,23229,megawatthours,2023-12-07,12
4711,2023-12-07T13-06,ERCO,SUN,Solar,5793,megawatthours,2023-12-07,12
4710,2023-12-07T13-06,ERCO,NG,Natural Gas,6784,megawatthours,2023-12-07,12
4709,2023-12-07T14-06,ERCO,WND,Wind,23088,megawatthours,2023-12-07,13
4708,2023-12-07T14-06,ERCO,SUN,Solar,5863,megawatthours,2023-12-07,13
4707,2023-12-07T14-06,ERCO,NG,Natural Gas,6688,megawatthours,2023-12-07,13
4706,2023-12-07T15-06,ERCO,WND,Wind,22708,megawatthours,2023-12-07,14
4705,2023-12-07T15-06,ERCO,SUN,Solar,6047,megawatthours,2023-12-07,14
4704,2023-12-07T15-06,ERCO,NG,Natural Gas,6873,megawatthours,2023-12-07,14
4703,2023-12-07T16-06,ERCO,WND,Wind,22621,megawatthours,2023-12-07,15
4702,2023-12-07T16-06,ERCO,SUN,Solar,5074,megawatthours,2023-12-07,15
4701,2023-12-07T16-06,ERCO,NG,Natural Gas,7792,megawatthours,2023-12-07,15
4698,2023-12-07T17-06,ERCO,NG,Natural Gas,9932,megawatthours,2023-12-07,16
4700,2023-12-07T17-06,ERCO,WND,Wind,22468,megawatthours,2023-12-07,16
4699,2023-12-07T17-06,ERCO,SUN,Solar,2330,megawatthours,2023-12-07,16
4697,2023-12-07T18-06,ERCO,WND,Wind,22831,megawatthours,2023-12-07,17
4695,2023-12-07T18-06,ERCO,NG,Natural Gas,10937,megawatthours,2023-12-07,17
4696,2023-12-07T18-06,ERCO,SUN,Solar,294,megawatthours,2023-12-07,17
4694,2023-12-07T19-06,ERCO,WND,Wind,23349,megawatthours,2023-12-07,18
4693,2023-12-07T19-06,ERCO,SUN,Solar,0,megawatthours,2023-12-07,18
4692,2023-12-07T19-06,ERCO,NG,Natural Gas,11498,megawatthours,2023-12-07,18
4691,2023-12-07T20-06,ERCO,WND,Wind,23668,megawatthours,2023-12-07,19
