"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SOCO,"6/11/2023, Central Time",0,23417,13414,8323,-11,359012,128145,141317
SOCO,"6/12/2023, Central Time",0,25912,15861,7874,-12,397238,129010,141302
SOCO,"6/13/2023, Central Time",0,21380,14864,8475,17,378280,128799,135317
SOCO,"6/14/2023, Central Time",0,10026,25657,8994,-11,395551,116575,118502
SOCO,"6/15/2023, Central Time",0,7716,28668,8685,-14,398168,127071,120379
SOCO,"6/16/2023, Central Time",0,25589,24218,8996,-9,434099,124336,119501
SOCO,"6/17/2023, Central Time",0,30657,18994,9028,-12,406824,120524,119293
SOCO,"6/18/2023, Central Time",0,24953,16222,8486,-11,389433,114829,119062
SOCO,"6/19/2023, Central Time",0,14547,19679,7776,-7,405205,125749,119066
SOCO,"6/20/2023, Central Time",0,28049,21747,7800,25,419414,115971,131038
SOCO,"6/21/2023, Central Time",0,14810,23718,7290,-10,384373,111793,141010
SOCO,"6/22/2023, Central Time",0,21822,30097,7525,-9,371317,114173,140783
SOCO,"6/23/2023, Central Time",0,27936,25570,6418,-7,397248,115674,136311
SOCO,"6/24/2023, Central Time",0,34337,19760,6300,-12,397565,113962,112392
SOCO,"6/25/2023, Central Time",0,35204,20736,6453,-9,420000,119298,112327
SOCO,"6/26/2023, Central Time",0,32292,20759,6472,-12,453157,142650,111747
SOCO,"6/27/2023, Central Time",0,34440,18424,6969,31,463656,156643,111076
SOCO,"6/28/2023, Central Time",0,37981,17953,7579,-13,447635,161705,122632
SOCO,"6/29/2023, Central Time",0,36565,19222,7620,-11,459096,167644,140923
SOCO,"6/30/2023, Central Time",0,30844,15215,8584,-5,452047,155000,140750
SOCO,"7/1/2023, Central Time",0,32902,18986,8428,-9,435378,149464,140430
SOCO,"7/2/2023, Central Time",0,31073,19674,8356,-10,417582,145395,140117
SOCO,"7/3/2023, Central Time",0,31604,23466,7611,17,412859,144199,140292
SOCO,"7/4/2023, Central Time",0,25787,18337,6883,6,407625,138530,139525
SOCO,"7/5/2023, Central Time",0,23329,17706,6893,41,436440,154133,139536
SOCO,"7/6/2023, Central Time",0,31802,19067,7778,-13,446713,161409,139433
SOCO,"7/7/2023, Central Time",0,30179,26225,8068,-7,420508,159241,139399
SOCO,"7/8/2023, Central Time",0,34093,22326,7989,-10,396951,152088,141205
SOCO,"7/9/2023, Central Time",0,25968,21212,8363,-12,380076,147552,151356
SOCO,"7/10/2023, Central Time",0,20281,28408,7625,-11,396125,156475,141069
SOCO,"7/11/2023, Central Time",0,33647,29915,7515,44,420813,153409,141027
SOCO,"7/12/2023, Central Time",0,32546,25572,6959,-11,441633,160315,140170
SOCO,"7/13/2023, Central Time",0,27709,24741,6713,-13,446401,170463,140061
SOCO,"7/14/2023, Central Time",0,21811,24895,7440,-9,442173,181844,139651
SOCO,"7/15/2023, Central Time",0,26141,17327,7013,-14,421868,183918,140702
SOCO,"7/16/2023, Central Time",0,25169,14460,7249,-11,418595,181986,140256
SOCO,"7/17/2023, Central Time",0,28795,15516,8436,-10,436424,167816,140059
SOCO,"7/18/2023, Central Time",0,32237,16175,7163,-11,452200,172317,139587
SOCO,"7/19/2023, Central Time",0,29252,16718,6666,20,460004,175656,139242
SOCO,"7/20/2023, Central Time",0,33704,17873,6894,-11,458093,189449,141574
SOCO,"7/21/2023, Central Time",0,33265,16868,6674,-14,438644,181713,146989
SOCO,"7/22/2023, Central Time",0,18711,14457,6731,-9,391819,166965,140861
SOCO,"7/23/2023, Central Time",0,19763,16000,7403,-11,380729,167030,140909
SOCO,"7/24/2023, Central Time",0,31309,19383,7982,-13,424505,173587,140433
SOCO,"7/25/2023, Central Time",0,32727,17018,8002,76,444918,175001,139870
SOCO,"7/26/2023, Central Time",0,35322,18124,8221,-1,465349,183607,148707
SOCO,"7/27/2023, Central Time",0,33397,16923,7365,122,486201,196093,157441
SOCO,"7/28/2023, Central Time",0,19744,14279,7359,-11,474953,188283,166981
SOCO,"7/29/2023, Central Time",0,22649,11373,7200,-13,422572,175177,167485
SOCO,"7/30/2023, Central Time",0,25524,12313,8007,-9,400079,155787,167489
SOCO,"7/31/2023, Central Time",0,34001,15099,8363,-13,429708,182265,167669
SOCO,"8/1/2023, Central Time",0,34818,14460,7542,27,432401,184154,164224
SOCO,"8/2/2023, Central Time",0,32428,15610,8291,48,429498,183743,159852
SOCO,"8/3/2023, Central Time",0,29035,17818,6838,-14,411348,172306,160885
SOCO,"8/4/2023, Central Time",0,21932,20000,7033,-11,433793,152410,160283
SOCO,"8/5/2023, Central Time",0,28623,18195,8584,-10,450573,157195,159995
SOCO,"8/6/2023, Central Time",0,29207,14300,8711,-11,431837,154631,160273
SOCO,"8/7/2023, Central Time",0,32693,21322,8411,3,448254,154278,159947
SOCO,"8/8/2023, Central Time",0,25027,19227,8604,30,434320,143974,160040
SOCO,"8/9/2023, Central Time",0,31412,19209,8664,-13,442183,152865,163056
SOCO,"8/10/2023, Central Time",0,33796,23615,8029,-16,439605,157551,166402
SOCO,"8/11/2023, Central Time",0,20297,33268,8687,-11,442768,160406,167102
SOCO,"8/12/2023, Central Time",0,32316,28970,8549,-13,440871,142972,167103
SOCO,"8/13/2023, Central Time",0,34071,23844,8076,-11,455986,150140,166612
SOCO,"8/14/2023, Central Time",0,30573,25893,7401,99,510118,167004,164318
SOCO,"8/15/2023, Central Time",0,28002,22022,8617,43,459200,169119,164719
SOCO,"8/16/2023, Central Time",0,28464,18760,8548,-13,402826,151089,167158
SOCO,"8/17/2023, Central Time",0,35085,20371,8605,-12,395250,149157,168010
SOCO,"8/18/2023, Central Time",0,36254,17715,9234,-14,410354,159010,167877
SOCO,"8/19/2023, Central Time",0,31924,13756,8944,-12,378542,169979,167858
SOCO,"8/20/2023, Central Time",0,31941,13877,9080,-10,390603,174292,166860
SOCO,"8/21/2023, Central Time",0,32762,18131,9052,-16,465749,192573,166913
SOCO,"8/22/2023, Central Time",0,31065,19281,8956,35,482328,195804,157781
SOCO,"8/23/2023, Central Time",0,30594,17954,9018,-16,485767,196568,138102
SOCO,"8/24/2023, Central Time",0,32877,15877,9038,-12,473753,196849,141436
SOCO,"8/25/2023, Central Time",0,32076,13321,9159,-17,480128,201704,148536
SOCO,"8/26/2023, Central Time",0,32613,15760,8751,-12,457998,195268,150139
SOCO,"8/27/2023, Central Time",0,28452,13969,8605,-13,428358,184843,150217
SOCO,"8/28/2023, Central Time",0,27604,16200,8840,-14,425780,179561,150717
SOCO,"8/29/2023, Central Time",0,18473,20371,8253,-16,400315,173103,163985
SOCO,"8/30/2023, Central Time",0,12038,21073,8237,-12,387015,135011,165691
SOCO,"8/31/2023, Central Time",0,25983,23017,8976,-14,387420,136931,165840
SOCO,"9/1/2023, Central Time",0,11379,15947,7687,-13,374591,131421,165856
SOCO,"9/2/2023, Central Time",0,21298,15453,7224,-7,326454,117238,166181
SOCO,"9/3/2023, Central Time",0,30028,14554,7685,-6,341218,122932,165863
SOCO,"9/4/2023, Central Time",0,33363,17235,7287,11,382298,126060,165470
SOCO,"9/5/2023, Central Time",0,27040,19861,7006,30,422279,142560,164650
SOCO,"9/6/2023, Central Time",0,33291,19864,6154,50,431752,147800,162954
SOCO,"9/7/2023, Central Time",0,26161,19286,5932,-8,441105,151437,162909
SOCO,"9/8/2023, Central Time",0,31743,15819,5630,-9,389335,129396,163528
SOCO,"9/9/2023, Central Time",0,29439,12346,5767,-10,370617,127482,157202
SOCO,"9/10/2023, Central Time",0,28910,12731,5471,-13,380291,135152,139241
SOCO,"9/11/2023, Central Time",0,30486,15460,5937,-12,431361,146106,139427
SOCO,"9/12/2023, Central Time",0,24878,17331,5892,-9,426872,147144,139454
SOCO,"9/13/2023, Central Time",0,23455,16810,5648,-12,413397,138329,139763
SOCO,"9/14/2023, Central Time",0,23884,17351,6195,-12,388578,129239,139734
SOCO,"9/15/2023, Central Time",0,17666,13769,6231,-11,377736,115009,140259
SOCO,"9/16/2023, Central Time",0,18472,12414,7009,-10,347229,105567,137122
SOCO,"9/17/2023, Central Time",0,19867,12889,7591,-10,356441,99491,139704
SOCO,"9/18/2023, Central Time",0,34690,15534,7324,-5,355531,94757,140841
SOCO,"9/19/2023, Central Time",0,32683,14864,7172,-11,354527,97749,140930
SOCO,"9/20/2023, Central Time",0,22434,15604,6745,-6,361683,101088,140430
SOCO,"9/21/2023, Central Time",0,27098,16100,8245,4,375766,102028,140307
SOCO,"9/22/2023, Central Time",0,32099,15530,8157,-11,365894,95302,140789
SOCO,"9/23/2023, Central Time",0,33714,11134,7654,-11,341109,91728,141090
SOCO,"9/24/2023, Central Time",0,33544,11261,8660,-10,340088,91206,140483
SOCO,"9/25/2023, Central Time",0,30327,12566,7675,-15,397014,100730,139778
SOCO,"9/26/2023, Central Time",0,10162,13983,7642,44,416467,109457,138767
SOCO,"9/27/2023, Central Time",0,7447,12719,8184,-10,388845,101205,139034
SOCO,"9/28/2023, Central Time",0,20395,11123,8772,464,358981,89869,139294
SOCO,"9/29/2023, Central Time",0,30803,13174,8748,-13,362778,93727,138766
SOCO,"9/30/2023, Central Time",0,30901,10862,8686,-12,349463,90981,138055
SOCO,"10/1/2023, Central Time",0,32283,11204,7759,-10,336465,87499,150610
SOCO,"10/2/2023, Central Time",0,31116,14770,6591,64,344656,102194,161671
SOCO,"10/3/2023, Central Time",0,29360,14230,6838,-10,334347,106246,166679
SOCO,"10/4/2023, Central Time",0,28959,13986,6829,51,337722,107027,166660
SOCO,"10/5/2023, Central Time",0,27779,13454,6903,-11,329447,104386,166424
SOCO,"10/6/2023, Central Time",0,16437,13908,6369,-11,339951,81310,166023
SOCO,"10/7/2023, Central Time",0,29006,10470,5231,-11,260676,59226,166407
SOCO,"10/8/2023, Central Time",0,32139,10617,4975,-9,245100,56409,152491
SOCO,"10/9/2023, Central Time",0,32920,14230,3798,-10,281236,71604,148875
SOCO,"10/10/2023, Central Time",0,26167,13650,3728,16,304356,82433,148245
SOCO,"10/11/2023, Central Time",0,4636,13949,3060,38,309448,88031,147935
SOCO,"10/12/2023, Central Time",0,5323,14448,2505,-13,304805,86968,147383
SOCO,"10/13/2023, Central Time",0,6278,14151,2601,-10,293496,87218,147151
SOCO,"10/14/2023, Central Time",0,14767,10460,3629,-12,272840,78505,146493
SOCO,"10/15/2023, Central Time",0,19870,8577,3653,-11,252284,68502,147912
SOCO,"10/16/2023, Central Time",0,24805,12492,3485,-12,295603,86706,148395
SOCO,"10/17/2023, Central Time",0,31837,12705,3863,-12,296252,90828,148434
SOCO,"10/18/2023, Central Time",0,29094,11279,3887,-11,290017,88450,148185
SOCO,"10/19/2023, Central Time",0,23660,8165,3744,59,300821,84118,148128
SOCO,"10/20/2023, Central Time",0,21753,11834,3765,-13,287776,90989,147356
SOCO,"10/21/2023, Central Time",0,30306,8225,4765,-12,241411,80935,147602
SOCO,"10/22/2023, Central Time",0,21198,9676,4805,-13,254015,77052,147505
SOCO,"10/23/2023, Central Time",0,28206,13000,4627,-10,296972,78664,148133
SOCO,"10/24/2023, Central Time",0,27427,12514,4635,33,292875,92688,147845
SOCO,"10/25/2023, Central Time",0,21560,12784,4593,-13,294918,103686,147144
SOCO,"10/26/2023, Central Time",0,22087,10933,4478,-11,290712,120270,146926
SOCO,"10/27/2023, Central Time",0,18656,11871,4685,-12,287065,117789,147037
SOCO,"10/28/2023, Central Time",0,11145,11903,434,-8,285033,89794,147002
SOCO,"10/29/2023, Central Time",0,12128,12588,440,-12,299227,81307,144832
SOCO,"10/30/2023, Central Time",0,10153,12613,435,-11,315972,80703,143434
SOCO,"10/31/2023, Central Time",0,8615,9636,330,29,322096,102020,145601
SOCO,"11/1/2023, Central Time",,,,,,,,
