BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SOCO,"6/13/2023, Central Time",644155,633377,687133,42978
SOCO,"6/14/2023, Central Time",635011,631165,675298,40287
SOCO,"6/15/2023, Central Time",648359,624857,690672,42313
SOCO,"6/16/2023, Central Time",694514,687152,736736,42222
SOCO,"6/17/2023, Central Time",673878,663234,705301,31423
SOCO,"6/18/2023, Central Time",637699,655026,672971,35272
SOCO,"6/19/2023, Central Time",655896,645931,692017,36121
SOCO,"6/20/2023, Central Time",682213,669752,724046,41833
SOCO,"6/21/2023, Central Time",638212,629621,682992,44780
SOCO,"6/22/2023, Central Time",642285,627451,685712,43427
SOCO,"6/23/2023, Central Time",671814,667405,709148,37334
SOCO,"6/24/2023, Central Time",666933,655449,684302,17369
SOCO,"6/25/2023, Central Time",691959,701625,714005,22046
SOCO,"6/26/2023, Central Time",755718,736762,767070,11352
SOCO,"6/27/2023, Central Time",780477,766506,791240,10763
SOCO,"6/28/2023, Central Time",776582,771496,795469,18887
SOCO,"6/29/2023, Central Time",792994,792174,831059,38065
SOCO,"6/30/2023, Central Time",757285,764596,802435,45150
SOCO,"7/1/2023, Central Time",758647,753039,785586,26939
SOCO,"7/2/2023, Central Time",736136,726215,762187,26051
SOCO,"7/3/2023, Central Time",733576,721693,760047,26471
SOCO,"7/4/2023, Central Time",705233,693640,736691,31458
SOCO,"7/5/2023, Central Time",742753,732839,778078,35325
SOCO,"7/6/2023, Central Time",772101,760069,806189,34088
SOCO,"7/7/2023, Central Time",757329,746085,783609,26280
SOCO,"7/8/2023, Central Time",731182,720109,754643,23461
SOCO,"7/9/2023, Central Time",715992,705786,734518,18526
SOCO,"7/10/2023, Central Time",726505,718885,749971,23466
SOCO,"7/11/2023, Central Time",759215,749086,786369,27154
SOCO,"7/12/2023, Central Time",786648,775398,807181,20533
SOCO,"7/13/2023, Central Time",791219,775253,816074,24855
SOCO,"7/14/2023, Central Time",795052,782088,817808,22756
SOCO,"7/15/2023, Central Time",777292,760541,796950,19658
SOCO,"7/16/2023, Central Time",766056,756257,787707,21651
SOCO,"7/17/2023, Central Time",771683,760123,797036,25353
SOCO,"7/18/2023, Central Time",807572,796553,819669,12097
SOCO,"7/19/2023, Central Time",817529,794698,827555,10026
SOCO,"7/20/2023, Central Time",835415,838385,847579,12164
