"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SE,"5/29/2021, Central Time",602305,593638,612908,10573
SE,"5/30/2021, Central Time",545388,527069,561594,16167
SE,"5/31/2021, Central Time",579419,573977,594652,15188
SE,"6/1/2021, Central Time",656541,650126,689527,32967
SE,"6/2/2021, Central Time",674504,664438,691131,16600
SE,"6/3/2021, Central Time",695408,686578,713150,17715
SE,"6/4/2021, Central Time",708406,699709,725107,16679
SE,"6/5/2021, Central Time",678158,667980,697430,19253
SE,"6/6/2021, Central Time",667942,658697,690036,22049
SE,"6/7/2021, Central Time",712208,702613,737409,25242
SE,"6/8/2021, Central Time",729647,724172,754117,24445
SE,"6/9/2021, Central Time",732098,727502,764963,32840
SE,"6/10/2021, Central Time",733388,729573,767743,34327
SE,"6/11/2021, Central Time",728963,735803,762826,33832
SE,"6/12/2021, Central Time",725106,724175,748343,23253
SE,"6/13/2021, Central Time",707140,719694,726998,19809
SE,"6/14/2021, Central Time",794418,772925,812230,17782
SE,"6/15/2021, Central Time",789893,794638,807508,17565
SE,"6/16/2021, Central Time",738565,724371,755059,16477
SE,"6/17/2021, Central Time",737978,728276,749823,11796
SE,"6/18/2021, Central Time",744619,749271,760303,15663
SE,"6/19/2021, Central Time",636248,621335,667735,31451
SE,"6/20/2021, Central Time",666361,650716,691430,25046
SE,"6/21/2021, Central Time",737313,731205,760085,22816
SE,"6/22/2021, Central Time",688418,673760,702454,14014
SE,"6/23/2021, Central Time",708382,686225,719648,11272
SE,"6/24/2021, Central Time",725857,716023,741147,15309
SE,"6/25/2021, Central Time",713455,709205,733852,20163
SE,"6/26/2021, Central Time",703930,696185,732642,28665
SE,"6/27/2021, Central Time",722408,706664,755828,33372
SE,"6/28/2021, Central Time",780592,767334,821952,41240
SE,"6/29/2021, Central Time",765980,754876,808086,42064
SE,"6/30/2021, Central Time",768032,755834,804882,36807
SE,"7/1/2021, Central Time",756876,749869,775166,18242
SE,"7/2/2021, Central Time",705456,704045,713114,7607
SE,"7/3/2021, Central Time",662445,674086,660627,-1858
SE,"7/4/2021, Central Time",653035,652450,665617,12272
SE,"7/5/2021, Central Time",697676,692459,717857,19375
SE,"7/6/2021, Central Time",732286,724965,762058,29160
SE,"7/7/2021, Central Time",715187,724185,742573,26678
SE,"7/8/2021, Central Time",743552,730915,759422,14677
SE,"7/9/2021, Central Time",737677,748069,758445,19620
SE,"7/10/2021, Central Time",702818,698683,731003,27416
SE,"7/11/2021, Central Time",687533,693430,712149,24612
SE,"7/12/2021, Central Time",715845,716695,754142,38046
SE,"7/13/2021, Central Time",731779,724028,763794,30668
SE,"7/14/2021, Central Time",773552,747660,804934,30291
SE,"7/15/2021, Central Time",800598,784406,840950,39171
SE,"7/16/2021, Central Time",780936,772941,822104,39987
SE,"7/17/2021, Central Time",737290,727927,768786,30430
