"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SE,"10/1/2021, Central Time",0,20243,31068,8535,-12,379347,134975,113097
SE,"10/2/2021, Central Time",0,17486,24247,8631,-14,366743,111689,113133
SE,"10/3/2021, Central Time",0,13671,26845,8842,-11,350134,106897,113200
SE,"10/4/2021, Central Time",0,9458,39807,8725,8,382935,98442,112708
SE,"10/5/2021, Central Time",0,6796,44100,7270,42,380901,88629,112287
SE,"10/6/2021, Central Time",0,6781,48333,7003,91,383573,96944,112025
SE,"10/7/2021, Central Time",0,10549,46535,8010,-10,389875,101995,116793
SE,"10/8/2021, Central Time",0,15513,51270,8037,-10,381121,101335,124530
SE,"10/9/2021, Central Time",0,16815,45739,8225,-13,322208,98723,132957
SE,"10/10/2021, Central Time",0,19686,45778,8754,-16,315315,94554,140659
SE,"10/11/2021, Central Time",0,17057,41618,8735,-13,363571,92850,142195
SE,"10/12/2021, Central Time",0,16619,34094,8228,29,379573,93269,142328
SE,"10/13/2021, Central Time",0,20972,32520,8397,-14,402120,87470,142315
SE,"10/14/2021, Central Time",0,19963,35708,7489,-9,406752,83468,142038
SE,"10/15/2021, Central Time",0,21425,36555,7436,-14,399115,81475,141877
SE,"10/16/2021, Central Time",0,17758,31368,7127,-13,335625,62494,141928
SE,"10/17/2021, Central Time",0,24752,26504,7369,-14,259880,69590,143690
SE,"10/18/2021, Central Time",0,19640,34746,7325,-10,306201,67410,143665
SE,"10/19/2021, Central Time",0,23288,34982,7831,20,312691,87755,143424
SE,"10/20/2021, Central Time",0,20311,34190,7996,-9,328221,86949,143034
SE,"10/21/2021, Central Time",0,14904,33990,7748,-17,360215,83445,141422
SE,"10/22/2021, Central Time",0,19378,34581,7925,-11,344459,87273,142121
SE,"10/23/2021, Central Time",0,22665,26292,7575,-13,291882,88161,143190
SE,"10/24/2021, Central Time",0,13042,24306,7352,-10,289139,89180,142823
SE,"10/25/2021, Central Time",0,12923,30667,6957,-15,359319,89883,141561
SE,"10/26/2021, Central Time",0,22336,29643,7167,49,316650,92517,142889
SE,"10/27/2021, Central Time",0,19508,27589,8003,-14,320576,87704,143605
SE,"10/28/2021, Central Time",0,9786,29044,7646,-10,325489,90311,142786
SE,"10/29/2021, Central Time",0,11820,27162,6161,-14,308722,94303,143393
SE,"10/30/2021, Central Time",0,7387,21444,5585,-13,301271,88651,143507
SE,"10/31/2021, Central Time",0,15345,19234,5305,-10,288341,89301,143344
SE,"11/1/2021, Central Time",0,19916,26059,5571,-13,323884,86592,143413
SE,"11/2/2021, Central Time",0,20551,25573,5815,35,340029,77598,143307
SE,"11/3/2021, Central Time",0,19864,25579,5517,-12,346205,87396,143616
SE,"11/4/2021, Central Time",0,13131,24951,5493,-13,362745,99635,143994
SE,"11/5/2021, Central Time",0,2187,27339,838,1,384105,97973,144262
SE,"11/6/2021, Central Time",0,5729,24661,799,-13,347389,90458,143843
SE,"11/7/2021, Central Time",0,8384,21351,1091,-15,334221,99011,149972
SE,"11/8/2021, Central Time",0,22054,25179,5262,-13,352446,94375,144143
SE,"11/9/2021, Central Time",0,21104,25677,4696,53,342408,96629,143939
SE,"11/10/2021, Central Time",0,18111,23492,3666,66,309565,86881,143790
SE,"11/11/2021, Central Time",0,12935,22392,2817,-15,310902,85709,142966
SE,"11/12/2021, Central Time",0,21578,23189,3539,-14,310743,88141,143482
SE,"11/13/2021, Central Time",0,21097,22164,3970,-14,331059,91206,143915
SE,"11/14/2021, Central Time",0,22472,22883,5298,-13,357149,95147,144315
SE,"11/15/2021, Central Time",0,8463,26005,366,-15,356143,92631,144178
SE,"11/16/2021, Central Time",0,20300,27774,6266,23,373611,94293,143944
SE,"11/17/2021, Central Time",0,19769,22239,6025,-9,338975,89123,143588
SE,"11/18/2021, Central Time",0,14870,21648,6681,-14,354929,96023,142910
SE,"11/19/2021, Central Time",0,21669,23315,7451,53,369122,107137,143945
SE,"11/20/2021, Central Time",0,20894,20724,7711,-15,364970,112586,144015
SE,"11/21/2021, Central Time",0,14984,16232,8273,-16,310460,109387,143829
SE,"11/22/2021, Central Time",0,8709,20368,7334,-14,345580,112297,143687
SE,"11/23/2021, Central Time",0,22215,37598,8030,84,402324,108653,144618
SE,"11/24/2021, Central Time",0,22180,32770,7840,-19,408004,114511,144539
SE,"11/25/2021, Central Time",0,18576,25209,8879,-17,320500,107115,144052
SE,"11/26/2021, Central Time",0,19057,26901,8763,-17,305347,113274,143911
SE,"11/27/2021, Central Time",0,21125,23011,7797,-17,356769,113763,144161
SE,"11/28/2021, Central Time",0,5154,20891,8509,-12,358382,114394,143968
SE,"11/29/2021, Central Time",0,22028,32771,7733,-17,403584,118400,144210
SE,"11/30/2021, Central Time",0,21198,31480,8760,252,403803,113817,144372
SE,"12/1/2021, Central Time",0,16743,32517,8531,-16,359296,108086,144113
SE,"12/2/2021, Central Time",0,20744,27815,7908,-19,354821,88214,143425
SE,"12/3/2021, Central Time",0,17401,26418,8609,-17,347543,81048,142870
SE,"12/4/2021, Central Time",0,13855,20617,8297,-12,325264,79210,142268
SE,"12/5/2021, Central Time",0,14394,20469,8621,-15,276914,90164,143231
SE,"12/6/2021, Central Time",0,10232,25845,8236,45,336300,95476,143205
SE,"12/7/2021, Central Time",0,4877,34627,7372,65,387562,112981,143582
SE,"12/8/2021, Central Time",0,7970,34037,6478,-15,376943,118762,143439
SE,"12/9/2021, Central Time",0,6353,33525,5918,-18,396967,131563,144065
SE,"12/10/2021, Central Time",0,7830,26992,6956,-15,350697,114533,141777
SE,"12/11/2021, Central Time",0,10164,24910,7601,-11,292956,108223,127569
SE,"12/12/2021, Central Time",0,17383,28211,6549,-17,339623,115065,129203
SE,"12/13/2021, Central Time",0,15953,39817,6670,-18,400135,114955,139821
SE,"12/14/2021, Central Time",0,19930,35647,7515,106,367195,118997,141733
SE,"12/15/2021, Central Time",0,15623,31567,7484,-16,361587,82465,143271
SE,"12/16/2021, Central Time",0,6862,24668,7618,25,362328,74325,140925
SE,"12/17/2021, Central Time",0,7768,26759,8104,-14,351019,62701,138355
