Date,Residential-Commercial,Industrial,Electric Generation
2023-02-08,1.8655555555555552,0.29111111111111154,0.9055555555555554
2023-02-09,1.5744444444444443,0.29777777777777814,0.9599999999999997
2023-02-10,1.47,0.26111111111111107,0.8044444444444447
2023-02-11,1.698888888888889,0.3122222222222222,0.8633333333333333
2023-02-12,1.6266666666666667,0.30333333333333323,0.9444444444444444
2023-02-13,1.772222222222222,0.3022222222222226,0.9788888888888887
2023-02-14,1.6490000000000002,0.2919999999999998,0.9479999999999997
2023-02-15,1.384,0.272,0.8909999999999998
2023-02-16,1.188,0.242,0.8910000000000002
2023-02-17,1.8080000000000005,0.2849999999999995,1.0060000000000002
2023-02-18,2.032222222222222,0.3555555555555556,0.8933333333333335
2023-02-19,1.852222222222222,0.31333333333333324,0.8533333333333339
2023-02-20,1.5477777777777777,0.2588888888888887,0.8666666666666669
2023-02-21,1.8575,0.30500000000000016,0.8574999999999999
2023-02-22,1.93375,0.30625000000000013,0.84625
2023-02-23,2.3249999999999997,0.34375000000000044,0.98875
2023-02-24,2.73,0.35375000000000023,0.9624999999999995
2023-02-25,2.785,0.42375000000000007,0.9562499999999998
2023-02-26,2.35,0.36499999999999977,1.0012500000000002
2023-02-27,2.23,0.35375000000000023,0.94875
2023-02-28,2.13375,0.3374999999999999,1.0475000000000003
2023-03-01,1.83875,0.3125,1.06875
2023-03-02,1.79875,0.2925,1.045
2023-03-03,1.7175,0.3074999999999999,0.9700000000000002
2023-03-04,1.8688888888888888,0.31000000000000005,0.9755555555555557
2023-03-05,1.8155555555555556,0.31444444444444475,0.9422222222222216
2023-03-06,1.902222222222222,0.2988888888888894,0.9499999999999997
2023-03-07,2.071,0.3139999999999996,1.0380000000000007
2023-03-08,1.834,0.3169999999999997,1.0470000000000002
2023-03-09,1.645,0.2989999999999995,1.0650000000000004
2023-03-10,1.498,0.30600000000000005,1.0519999999999998
2023-03-11,1.719,0.32099999999999995,1.045
2023-03-12,1.625,0.32299999999999995,1.077
2023-03-13,1.75,0.31800000000000006,1.0669999999999997
2023-03-14,1.887,0.32200000000000006,0.9849999999999999
2023-03-15,1.828,0.3119999999999996,0.9540000000000002
2023-03-16,1.618,0.2829999999999999,0.954
2023-03-17,1.422,0.29200000000000004,0.964
2023-03-18,1.474,0.2659999999999998,0.8980000000000001
2023-03-19,1.924,0.3200000000000003,0.9010000000000002
2023-03-20,1.63,0.29800000000000004,0.9569999999999999
2023-03-21,1.316,0.264,0.9699999999999998
2023-03-22,1.1190000000000002,0.2679999999999998,0.9489999999999998
2023-03-23,1.017,0.248,0.9099999999999999
2023-03-24,1.189,0.254,0.7530000000000001
2023-03-25,1.465,0.29699999999999993,0.7529999999999997
2023-03-26,1.355,0.2490000000000001,0.7949999999999999
2023-03-27,1.3670000000000002,0.2579999999999998,0.8860000000000001
2023-03-28,1.486,0.2849999999999999,0.9640000000000004
2023-03-29,1.444,0.29700000000000015,0.9339999999999997
2023-03-30,1.849,0.30300000000000016,0.9559999999999995
2023-03-31,1.4444444444444444,0.29000000000000004,0.9533333333333334
2023-04-01,1.2177777777777776,0.23555555555555574,0.946666666666667
2023-04-02,1.41,0.27222222222222214,0.9211111111111114
2023-04-03,1.2233333333333334,0.28888888888888853,1.0022222222222226
2023-04-04,0.9744444444444444,0.24111111111111105,1.043333333333333
2023-04-05,1.2222222222222223,0.25777777777777766,1.1055555555555556
2023-04-06,0.9788888888888888,0.2511111111111112,1.0222222222222221
2023-04-07,1.0955555555555556,0.26666666666666683,1.0155555555555553
2023-04-08,1.098888888888889,0.3011111111111109,0.9944444444444445
2023-04-09,1.1144444444444446,0.2933333333333332,1.0044444444444445
2023-04-10,0.991111111111111,0.26222222222222213,0.9600000000000006
2023-04-11,0.6044444444444445,0.22333333333333338,0.972222222222222
2023-04-12,0.6166666666666667,0.2188888888888888,1.0199999999999996
2023-04-13,0.6499999999999999,0.2155555555555556,1.1033333333333335
2023-04-14,0.663,0.20699999999999985,1.11
2023-04-15,0.689,0.2300000000000002,1.033
2023-04-16,0.612,0.24,1.02
2023-04-17,0.7070000000000001,0.2499999999999999,1.141
2023-04-18,0.825,0.2530000000000001,1.1329999999999998
2023-04-19,1.032,0.28,1.115
2023-04-20,0.974,0.2550000000000001,1.1449999999999996
2023-04-21,0.938,0.2550000000000001,1.121
2023-04-22,0.681,0.2679999999999999,1.0180000000000002
2023-04-23,0.767,0.2759999999999999,1.0290000000000001
2023-04-24,0.834,0.27200000000000013,1.118
2023-04-25,0.901,0.27100000000000013,1.0769999999999995
2023-04-26,0.9333333333333332,0.2677777777777778,1.0577777777777775
2023-04-27,0.8422222222222222,0.2744444444444445,1.0711111111111111
2023-04-28,0.77,0.27,1.0555555555555554
2023-04-29,0.6744444444444445,0.2766666666666665,0.931111111111111
2023-04-30,0.6644444444444445,0.2766666666666667,0.8888888888888888
2023-05-01,0.6477777777777778,0.25555555555555565,0.8533333333333334
2023-05-02,0.8677777777777778,0.2711111111111111,0.7822222222222222
2023-05-03,0.9077777777777778,0.28222222222222215,0.7866666666666664
2023-05-04,0.991111111111111,0.2922222222222224,0.8233333333333335
2023-05-05,0.7122222222222222,0.27222222222222225,0.8233333333333333
2023-05-06,0.3277777777777778,0.23555555555555557,0.7655555555555557
2023-05-07,0.3722222222222222,0.22222222222222227,0.8555555555555555
2023-05-08,0.4677777777777778,0.23333333333333334,0.9211111111111111
2023-05-09,0.5888888888888889,0.2877777777777777,0.8811111111111115
2023-05-10,0.5349999999999999,0.266,0.863
2023-05-11,0.5,0.21699999999999997,1.0180000000000002
2023-05-12,0.481,0.21899999999999997,1.0190000000000001
2023-05-13,0.469,0.21999999999999997,0.8210000000000001
2023-05-14,0.391,0.25,0.7190000000000001
2023-05-15,0.4009999999999999,0.239,0.8310000000000002
2023-05-16,0.4389999999999999,0.21100000000000013,0.8749999999999999
2023-05-17,0.7,0.265,0.771
2023-05-18,0.723,0.2779999999999999,0.758
2023-05-19,0.587,0.2530000000000001,0.875
2023-05-20,0.496,0.236,0.8690000000000002
2023-05-21,0.499,0.22299999999999998,0.903
2023-05-22,0.497,0.242,0.8830000000000001
2023-05-23,0.534,0.242,0.796
2023-05-24,0.541,0.249,0.8759999999999999
2023-05-25,0.517,0.2479999999999999,0.8
2023-05-26,0.4309999999999999,0.23700000000000004,0.8010000000000002
2023-05-27,0.368,0.243,0.7100000000000002
2023-05-28,0.36,0.21899999999999997,0.905
2023-05-29,0.367,0.236,0.849
2023-05-30,0.4711111111111111,0.25333333333333335,0.9533333333333334
2023-05-31,0.45125,0.23375000000000007,1.06375
2023-06-01,0.39875,0.20500000000000002,1.355
2023-06-02,0.37375,0.21375,1.31
2023-06-03,0.4425,0.265,0.9524999999999999
2023-06-04,0.55125,0.27749999999999997,1.0025
2023-06-05,0.52875,0.24749999999999994,1.0325000000000002
2023-06-06,0.425,0.22500000000000003,1.1037499999999998
2023-06-07,0.45625,0.23500000000000004,1.1124999999999998
2023-06-08,0.51125,0.23624999999999996,1.1825
2023-06-09,0.5775,0.25,1.15125
2023-06-10,0.5,0.24249999999999994,1.10375
2023-06-11,0.31,0.23000000000000004,1.16375
2023-06-12,0.34,0.22999999999999993,1.2687500000000003
2023-06-13,0.3544444444444445,0.21888888888888886,1.2555555555555555
2023-06-14,0.4559999999999999,0.21300000000000013,1.265
2023-06-15,0.55,0.21499999999999997,1.258
2023-06-16,0.399,0.20099999999999996,1.255
2023-06-17,0.368,0.22899999999999998,1.0030000000000001
2023-06-18,0.376,0.22899999999999998,1.034
2023-06-19,0.396,0.22899999999999998,1.16
2023-06-20,0.449,0.22800000000000004,1.251
2023-06-21,0.4388888888888889,0.22111111111111115,1.2688888888888887
2023-06-22,0.4444444444444444,0.21777777777777785,1.31
2023-06-23,0.4499999999999999,0.20888888888888896,1.2366666666666664
2023-06-24,0.42,0.20333333333333342,1.3744444444444448
2023-06-25,0.4244444444444444,0.19777777777777783,1.4122222222222223
2023-06-26,0.4,0.20666666666666667,1.4088888888888895
2023-06-27,0.3788888888888889,0.20555555555555555,1.4100000000000001
2023-06-28,0.3755555555555555,0.20555555555555566,1.3655555555555552
2023-06-29,0.3611111111111111,0.20777777777777778,1.3733333333333335
2023-06-30,0.37125,0.21000000000000002,1.32375
2023-07-01,0.30625,0.20499999999999996,1.26125
2023-07-02,0.32375,0.20500000000000007,1.2762499999999999
2023-07-03,0.335,0.20625,1.35375
2023-07-04,0.315,0.20375000000000004,1.3175
2023-07-05,0.4077777777777778,0.19555555555555548,1.5244444444444445
2023-07-06,0.4288888888888889,0.18666666666666665,1.6233333333333335
2023-07-07,0.45125,0.18750000000000006,1.4837500000000001
2023-07-08,0.255,0.20500000000000002,1.44875
2023-07-09,0.30125,0.2025,1.4100000000000001
2023-07-10,0.345,0.21250000000000002,1.30375
2023-07-11,0.38875,0.20124999999999998,1.5025
2023-07-12,0.4425,0.20375,1.60875
2023-07-13,0.415,0.20875000000000005,1.5925
2023-07-14,0.3166666666666666,0.20111111111111118,1.514444444444444
2023-07-15,0.3211111111111111,0.19444444444444453,1.6277777777777773
2023-07-16,0.2855555555555555,0.20111111111111107,1.6000000000000003
2023-07-17,0.3899999999999999,0.19333333333333347,1.7477777777777779
2023-07-18,0.4277777777777778,0.21444444444444444,1.6577777777777776
2023-07-19,0.3355555555555555,0.20444444444444454,1.586666666666667
2023-07-20,0.3144444444444444,0.20666666666666678,1.5044444444444438
2023-07-21,0.382,0.21100000000000008,1.428
2023-07-22,0.316,0.20700000000000002,1.4029999999999996
2023-07-23,0.3339999999999999,0.20400000000000013,1.49
2023-07-24,0.357,0.20400000000000007,1.6150000000000002
2023-07-25,0.397,0.20399999999999996,1.6360000000000001
2023-07-26,0.513,0.19499999999999995,1.7260000000000002
2023-07-27,0.527,0.20199999999999996,1.855
2023-07-28,0.525,0.20099999999999996,1.854
2023-07-29,0.445,0.21600000000000003,1.585
2023-07-30,0.438,0.23300000000000004,1.337
2023-07-31,0.382,0.22399999999999998,1.2640000000000002
2023-08-01,0.473,0.22100000000000009,1.214
2023-08-02,0.414,0.23200000000000004,1.1629999999999998
2023-08-03,0.447,0.22499999999999992,1.2430000000000005
2023-08-04,0.583,0.2240000000000001,1.249
2023-08-05,0.314,0.21900000000000003,1.2430000000000003
2023-08-06,0.3219999999999999,0.21000000000000013,1.266
2023-08-07,0.3969999999999999,0.21700000000000008,1.2320000000000002
2023-08-08,0.4019999999999999,0.20700000000000007,1.357
2023-08-09,0.488,0.21000000000000008,1.362
2023-08-10,0.482,0.20400000000000007,1.3449999999999998
2023-08-11,0.378,0.21900000000000008,1.2159999999999997
2023-08-12,0.31,0.21000000000000002,1.261
2023-08-13,0.408,0.20400000000000001,1.4059999999999997
2023-08-14,0.4509999999999999,0.20400000000000013,1.3679999999999997
2023-08-15,0.396,0.21399999999999997,1.2679999999999998
2023-08-16,0.409,0.21000000000000002,1.235
2023-08-17,0.385,0.22000000000000008,1.2269999999999999
2023-08-18,0.4019999999999999,0.20900000000000007,1.254
2023-08-19,0.336,0.22500000000000003,1.097
2023-08-20,0.347,0.22000000000000008,1.245
2023-08-21,0.393,0.20099999999999996,1.266
2023-08-22,0.4,0.20999999999999996,1.109
2023-08-23,0.425,0.21100000000000002,1.037
2023-08-24,0.436,0.21599999999999991,1.0350000000000001
2023-08-25,0.383,0.20999999999999996,1.182
2023-08-26,0.316,0.199,1.383
2023-08-27,0.369,0.20999999999999996,1.2630000000000001
2023-08-28,0.417,0.21200000000000002,1.117
2023-08-29,0.433,0.20600000000000002,1.201
2023-08-30,0.483,0.20200000000000007,1.264
2023-08-31,0.54,0.2088888888888889,0.9344444444444442
2023-09-01,0.5255555555555556,0.21999999999999997,0.916666666666667
2023-09-02,0.2933333333333333,0.2055555555555556,0.9077777777777778
2023-09-03,0.3166666666666666,0.1933333333333334,1.3022222222222224
2023-09-04,0.4599999999999999,0.20222222222222236,1.5233333333333334
2023-09-05,0.4955555555555555,0.1988888888888889,1.6888888888888889
2023-09-06,0.5777777777777778,0.17999999999999994,1.8022222222222224
2023-09-07,0.5555555555555556,0.18555555555555547,1.976666666666667
2023-09-08,0.4522222222222222,0.2055555555555556,1.7633333333333334
2023-09-09,0.42,0.20888888888888896,1.5022222222222221
2023-09-10,0.4088888888888889,0.19777777777777777,1.4222222222222218
2023-09-11,0.4599999999999999,0.20666666666666672,1.4588888888888891
2023-09-12,0.4362499999999999,0.19250000000000012,1.3512499999999998
2023-09-13,0.365,0.1975,1.24625
2023-09-14,0.4011111111111111,0.21000000000000008,1.0711111111111113
2023-09-15,0.4544444444444444,0.23000000000000004,0.8811111111111112
2023-09-16,0.3044444444444444,0.22888888888888903,0.8322222222222222
2023-09-17,0.31,0.21444444444444438,0.9722222222222224
2023-09-18,0.3911111111111111,0.2222222222222222,1.1044444444444443
2023-09-19,0.4966666666666666,0.20111111111111124,0.9933333333333332
2023-09-20,0.4775,0.21000000000000002,1.02125
2023-09-21,0.4875,0.21625,1.0237500000000002
2023-09-22,0.4225,0.21750000000000003,0.9825
2023-09-23,0.4775,0.23000000000000004,0.9750000000000001
2023-09-24,0.47875,0.22999999999999998,0.9862499999999998
2023-09-25,0.47375,0.23124999999999996,1.0662500000000001
2023-09-26,0.56375,0.23250000000000004,1.09875
2023-09-27,0.5742857142857144,0.22857142857142843,1.117142857142857
2023-09-28,0.6371428571428571,0.2271428571428571,1.1228571428571428
2023-09-29,0.6314285714285715,0.2342857142857142,1.1600000000000001
2023-09-30,0.5614285714285714,0.2171428571428572,1.0714285714285716
2023-10-01,0.45,0.21142857142857135,1.0228571428571427
2023-10-02,0.4971428571428571,0.20571428571428574,1.0714285714285714
2023-10-03,0.4485714285714285,0.19857142857142862,1.185714285714286
2023-10-04,0.61375,0.19999999999999996,1.2162499999999998
2023-10-05,0.6475,0.20125000000000004,1.13875
2023-10-06,0.73,0.2025,1.3925
2023-10-07,0.6157142857142857,0.21571428571428564,1.1157142857142857
2023-10-08,0.5071428571428571,0.23285714285714287,0.8371428571428572
2023-10-09,0.62,0.24428571428571422,0.8728571428571429
2023-10-10,0.7725,0.23375000000000012,0.86625
2023-10-11,0.7533333333333334,0.2288888888888888,0.8655555555555553
2023-10-12,0.7533333333333334,0.21999999999999975,0.9166666666666667
2023-10-13,0.7474999999999999,0.2350000000000001,0.86
2023-10-14,0.6275,0.22999999999999998,0.92875
2023-10-15,0.6525,0.23875000000000002,0.955
2023-10-16,0.83125,0.24624999999999986,1.08375
2023-10-17,0.855,0.24750000000000005,1.0899999999999999
2023-10-18,0.75625,0.24,1.03125
2023-10-19,0.6975,0.22999999999999998,1.1112499999999998
2023-10-20,0.67,0.23124999999999996,1.0975000000000001
2023-10-21,0.6922222222222222,0.24888888888888905,1.0166666666666664
2023-10-22,0.7488888888888889,0.26888888888888896,1.0366666666666666
2023-10-23,0.86,0.2533333333333333,1.06
2023-10-24,0.8311111111111111,0.2533333333333332,1.0500000000000003
2023-10-25,0.7322222222222222,0.22111111111111115,1.0422222222222222
2023-10-26,0.7344444444444443,0.21333333333333326,1.1133333333333337
2023-10-27,0.572,0.20499999999999996,1.062
2023-10-28,0.518,0.20399999999999996,0.9910000000000001
2023-10-29,0.734,0.243,0.963
2023-10-30,0.988,0.256,0.966
2023-10-31,1.218,0.27300000000000013,0.988
2023-11-01,1.546,0.2829999999999999,1.078
2023-11-02,1.55,0.30299999999999994,1.023
2023-11-03,1.147,0.29200000000000004,0.847
2023-11-04,0.99,0.26555555555555554,0.896666666666667
2023-11-05,0.9544444444444444,0.26,0.8699999999999999
2023-11-06,1.1055555555555556,0.29000000000000004,0.9266666666666663
2023-11-07,1.1022222222222222,0.24111111111111105,0.896666666666667
2023-11-08,1.3811111111111112,0.30222222222222195,0.9744444444444449
2023-11-09,1.402222222222222,0.328888888888889,1.018888888888889
2023-11-10,1.3844444444444446,0.2944444444444443,1.097777777777778
2023-11-11,1.4522222222222223,0.30888888888888877,1.068888888888889
2023-11-12,1.6588888888888889,0.33666666666666667,1.1144444444444448
2023-11-13,1.672222222222222,0.3422222222222224,1.1533333333333333
2023-11-14,1.588888888888889,0.3055555555555558,1.195555555555555
2023-11-15,1.481111111111111,0.30666666666666664,1.0688888888888892
2023-11-16,1.0755555555555556,0.2566666666666666,1.0422222222222222
2023-11-17,0.8277777777777777,0.25222222222222235,0.9455555555555555
2023-11-18,1.118,0.2759999999999998,1.063
2023-11-19,1.43,0.29300000000000015,1.011
2023-11-20,1.87,0.33499999999999996,1.0749999999999997
2023-11-21,1.769,0.3310000000000002,1.0699999999999998
2023-11-22,1.3877777777777778,0.27888888888888896,1.0344444444444443
2023-11-23,1.481111111111111,0.28111111111111087,0.9677777777777781
2023-11-24,1.8044444444444447,0.303333333333333,0.9388888888888891
2023-11-25,2.0066666666666664,0.3477777777777784,0.9522222222222214
2023-11-26,1.6822222222222225,0.3155555555555556,1.0088888888888887
2023-11-27,1.67,0.2811111111111111,0.9733333333333336
2023-11-28,2.052222222222222,0.318888888888889,0.9600000000000004
2023-11-29,2.0344444444444445,0.35444444444444434,0.9888888888888889
2023-11-30,1.6477777777777778,0.3211111111111111,1.0355555555555553
2023-12-01,1.3433333333333333,0.27666666666666684,1.0544444444444445
2023-12-02,1.22,0.29000000000000004,0.9600000000000002
2023-12-03,1.35125,0.30499999999999994,1.0
2023-12-04,1.4475,0.2962499999999999,1.0137500000000004
2023-12-05,1.8485714285714288,0.3214285714285712,1.1828571428571428
2023-12-06,2.23,0.371428571428571,1.1528571428571435
2023-12-07,2.2566666666666664,0.40000000000000036,1.081666666666667
2023-12-08,1.834,0.33199999999999985,1.0459999999999998
2023-12-09,1.35,0.2999999999999998,0.9525000000000001
2023-12-10,1.0975,0.25750000000000006,0.9624999999999999
2023-12-11,1.515,0.27,0.9749999999999999
2023-12-12,1.836666666666667,0.3099999999999996,0.8666666666666667
2023-12-13,2.095,0.31499999999999995,0.835
2023-12-14,2.185,0.34499999999999975,0.8650000000000002
2023-12-15,1.68,0.28500000000000014,0.7750000000000001
2023-12-16,1.54,0.28333333333333366,0.8033333333333332
2023-12-17,1.08,0.29000000000000004,0.853333333333333
2023-12-18,1.2333333333333334,0.22333333333333338,0.8266666666666664
2023-12-19,1.8425,0.30999999999999983,0.9675000000000002
2023-12-20,1.988,0.31999999999999984,0.8900000000000001
2023-12-21,2.276666666666667,0.38499999999999934,0.8683333333333336
2023-12-22,2.2842857142857143,0.387142857142857,0.8314285714285714
2023-12-23,1.86125,0.3587500000000001,0.7337499999999997
2023-12-24,1.56125,0.31125,0.7199999999999998
2023-12-25,1.5075,0.28749999999999987,0.6675
2023-12-26,1.308888888888889,0.30222222222222217,0.7344444444444442
2023-12-27,1.233,0.2899999999999998,0.7730000000000004
2023-12-28,1.339,0.29499999999999993,0.7990000000000004
2023-12-29,1.355,0.29600000000000026,0.7759999999999998
2023-12-30,1.528888888888889,0.29666666666666663,0.7499999999999998
2023-12-31,1.7966666666666669,0.32222222222222197,0.7455555555555562
2024-01-01,1.99,0.34999999999999987,0.9222222220000003
2024-01-02,2.05,0.35111111100000025,0.9311111109999999
2024-01-03,1.95375,0.33125000000000004,0.9962499999999999
