"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"7/9/2022 1 a.m. EDT",13501,13500,11428,-2073
ISNE,"7/9/2022 2 a.m. EDT",12668,12680,10645,-2023
ISNE,"7/9/2022 3 a.m. EDT",12061,12090,10321,-1740
ISNE,"7/9/2022 4 a.m. EDT",11970,11690,10368,-1602
ISNE,"7/9/2022 5 a.m. EDT",11760,11460,10243,-1517
ISNE,"7/9/2022 6 a.m. EDT",11882,11350,10277,-1605
ISNE,"7/9/2022 7 a.m. EDT",12100,11560,10558,-1542
ISNE,"7/9/2022 8 a.m. EDT",12401,11850,10675,-1726
ISNE,"7/9/2022 9 a.m. EDT",12235,11990,10610,-1625
ISNE,"7/9/2022 10 a.m. EDT",12248,12020,10759,-1489
ISNE,"7/9/2022 11 a.m. EDT",12442,12120,11226,-1216
ISNE,"7/9/2022 12 p.m. EDT",12805,12320,11682,-1123
ISNE,"7/9/2022 1 p.m. EDT",13022,12540,11871,-1151
ISNE,"7/9/2022 2 p.m. EDT",13233,12760,11866,-1367
ISNE,"7/9/2022 3 p.m. EDT",13179,13150,11592,-1587
ISNE,"7/9/2022 4 p.m. EDT",13771,13840,12532,-1239
ISNE,"7/9/2022 5 p.m. EDT",14778,14850,13210,-1568
ISNE,"7/9/2022 6 p.m. EDT",15792,15860,14071,-1721
ISNE,"7/9/2022 7 p.m. EDT",16367,16340,14391,-1976
ISNE,"7/9/2022 8 p.m. EDT",16124,16020,14154,-1970
ISNE,"7/9/2022 9 p.m. EDT",15471,15420,13378,-2093
ISNE,"7/9/2022 10 p.m. EDT",14832,14820,12914,-1918
ISNE,"7/9/2022 11 p.m. EDT",13767,13700,12012,-1755
ISNE,"7/10/2022 12 a.m. EDT",12644,12610,10556,-2088
ISNE,"7/10/2022 1 a.m. EDT",11709,11730,9971,-1738
ISNE,"7/10/2022 2 a.m. EDT",11200,11040,9664,-1536
ISNE,"7/10/2022 3 a.m. EDT",11195,10540,9480,-1715
ISNE,"7/10/2022 4 a.m. EDT",11219,10240,9457,-1762
ISNE,"7/10/2022 5 a.m. EDT",11143,10070,9472,-1671
ISNE,"7/10/2022 6 a.m. EDT",10845,9930,9229,-1616
ISNE,"7/10/2022 7 a.m. EDT",11090,10010,9275,-1815
ISNE,"7/10/2022 8 a.m. EDT",11185,10110,9304,-1881
ISNE,"7/10/2022 9 a.m. EDT",10976,10170,9520,-1456
ISNE,"7/10/2022 10 a.m. EDT",10728,10170,9448,-1280
ISNE,"7/10/2022 11 a.m. EDT",11050,10460,9806,-1244
ISNE,"7/10/2022 12 p.m. EDT",11344,10850,10175,-1169
ISNE,"7/10/2022 1 p.m. EDT",11616,11210,10641,-975
ISNE,"7/10/2022 2 p.m. EDT",11530,11640,10686,-844
ISNE,"7/10/2022 3 p.m. EDT",12083,12090,11154,-929
ISNE,"7/10/2022 4 p.m. EDT",12682,13200,11719,-963
ISNE,"7/10/2022 5 p.m. EDT",13893,14360,12979,-914
ISNE,"7/10/2022 6 p.m. EDT",15153,15450,14175,-978
ISNE,"7/10/2022 7 p.m. EDT",15889,16000,14683,-1206
ISNE,"7/10/2022 8 p.m. EDT",15797,15530,14330,-1467
ISNE,"7/10/2022 9 p.m. EDT",15395,15100,14053,-1342
ISNE,"7/10/2022 10 p.m. EDT",14863,14740,13511,-1352
ISNE,"7/10/2022 11 p.m. EDT",13726,13580,12242,-1484
ISNE,"7/11/2022 12 a.m. EDT",12547,12490,10826,-1721
ISNE,"7/11/2022 1 a.m. EDT",11754,11660,10060,-1694
ISNE,"7/11/2022 2 a.m. EDT",11694,11070,9915,-1779
ISNE,"7/11/2022 3 a.m. EDT",11731,10690,9883,-1848
ISNE,"7/11/2022 4 a.m. EDT",11562,10510,9535,-2027
ISNE,"7/11/2022 5 a.m. EDT",11715,10630,9584,-2131
ISNE,"7/11/2022 6 a.m. EDT",12062,11050,10026,-2036
ISNE,"7/11/2022 7 a.m. EDT",12280,11950,10321,-1959
ISNE,"7/11/2022 8 a.m. EDT",13322,12900,11341,-1981
ISNE,"7/11/2022 9 a.m. EDT",13650,13350,11829,-1821
ISNE,"7/11/2022 10 a.m. EDT",13488,13540,12107,-1381
ISNE,"7/11/2022 11 a.m. EDT",13740,13850,12474,-1266
ISNE,"7/11/2022 12 p.m. EDT",14047,14300,12670,-1377
ISNE,"7/11/2022 1 p.m. EDT",14733,14810,13484,-1249
ISNE,"7/11/2022 2 p.m. EDT",15569,15560,14443,-1126
ISNE,"7/11/2022 3 p.m. EDT",16124,16050,15038,-1086
ISNE,"7/11/2022 4 p.m. EDT",16663,16840,15644,-1019
ISNE,"7/11/2022 5 p.m. EDT",17436,17760,16451,-985
ISNE,"7/11/2022 6 p.m. EDT",18331,18590,17345,-986
ISNE,"7/11/2022 7 p.m. EDT",18729,18800,17421,-1308
ISNE,"7/11/2022 8 p.m. EDT",18369,18080,16638,-1731
ISNE,"7/11/2022 9 p.m. EDT",17632,17470,15865,-1767
ISNE,"7/11/2022 10 p.m. EDT",16787,16540,15325,-1462
ISNE,"7/11/2022 11 p.m. EDT",15347,15160,13720,-1627
ISNE,"7/12/2022 12 a.m. EDT",13979,13730,12125,-1854
ISNE,"7/12/2022 1 a.m. EDT",13517,12870,11528,-1989
ISNE,"7/12/2022 2 a.m. EDT",13039,12180,11076,-1963
ISNE,"7/12/2022 3 a.m. EDT",12758,11750,10862,-1896
ISNE,"7/12/2022 4 a.m. EDT",12602,11540,10614,-1988
ISNE,"7/12/2022 5 a.m. EDT",12689,11660,10671,-2018
ISNE,"7/12/2022 6 a.m. EDT",12923,12220,10890,-2033
ISNE,"7/12/2022 7 a.m. EDT",13458,13240,11512,-1946
ISNE,"7/12/2022 8 a.m. EDT",14082,14310,12214,-1868
ISNE,"7/12/2022 9 a.m. EDT",14472,14660,12856,-1616
ISNE,"7/12/2022 10 a.m. EDT",14770,14820,13381,-1389
ISNE,"7/12/2022 11 a.m. EDT",15297,15480,14053,-1244
ISNE,"7/12/2022 12 p.m. EDT",15939,16250,14802,-1137
ISNE,"7/12/2022 1 p.m. EDT",16584,16880,15480,-1104
ISNE,"7/12/2022 2 p.m. EDT",17501,17600,16254,-1247
ISNE,"7/12/2022 3 p.m. EDT",18300,18150,17281,-1019
ISNE,"7/12/2022 4 p.m. EDT",18931,18670,17927,-1004
ISNE,"7/12/2022 5 p.m. EDT",19643,19460,18416,-1227
ISNE,"7/12/2022 6 p.m. EDT",20488,19900,19176,-1312
ISNE,"7/12/2022 7 p.m. EDT",20460,20250,18696,-1764
ISNE,"7/12/2022 8 p.m. EDT",19947,19750,18403,-1544
ISNE,"7/12/2022 9 p.m. EDT",19327,19110,17926,-1401
ISNE,"7/12/2022 10 p.m. EDT",18399,18270,16724,-1675
ISNE,"7/12/2022 11 p.m. EDT",16900,16880,15367,-1533
ISNE,"7/13/2022 12 a.m. EDT",15453,15440,13816,-1637
ISNE,"7/13/2022 1 a.m. EDT",14642,14350,12744,-1898
ISNE,"7/13/2022 2 a.m. EDT",14309,13490,12126,-2183
ISNE,"7/13/2022 3 a.m. EDT",14063,12930,11797,-2266
ISNE,"7/13/2022 4 a.m. EDT",13776,12560,11305,-2471
ISNE,"7/13/2022 5 a.m. EDT",13775,12570,11290,-2485
ISNE,"7/13/2022 6 a.m. EDT",14141,12990,11839,-2302
ISNE,"7/13/2022 7 a.m. EDT",14395,13830,12260,-2135
ISNE,"7/13/2022 8 a.m. EDT",14975,14720,12916,-2059
ISNE,"7/13/2022 9 a.m. EDT",15344,15310,13496,-1848
ISNE,"7/13/2022 10 a.m. EDT",15531,15500,14022,-1509
ISNE,"7/13/2022 11 a.m. EDT",16244,16150,14991,-1253
ISNE,"7/13/2022 12 p.m. EDT",17003,16700,15733,-1270
ISNE,"7/13/2022 1 p.m. EDT",17458,17310,16193,-1265
ISNE,"7/13/2022 2 p.m. EDT",18060,18100,16900,-1160
ISNE,"7/13/2022 3 p.m. EDT",18628,19030,17739,-889
ISNE,"7/13/2022 4 p.m. EDT",19137,19770,18225,-912
ISNE,"7/13/2022 5 p.m. EDT",19534,20600,18790,-744
ISNE,"7/13/2022 6 p.m. EDT",20133,21370,19194,-939
ISNE,"7/13/2022 7 p.m. EDT",20429,21750,19409,-1020
ISNE,"7/13/2022 8 p.m. EDT",20278,20580,18957,-1321
ISNE,"7/13/2022 9 p.m. EDT",19549,19610,18110,-1439
ISNE,"7/13/2022 10 p.m. EDT",18589,18400,17103,-1486
ISNE,"7/13/2022 11 p.m. EDT",16982,16810,15540,-1442
ISNE,"7/14/2022 12 a.m. EDT",15390,15250,14125,-1265
ISNE,"7/14/2022 1 a.m. EDT",14643,14210,12992,-1651
ISNE,"7/14/2022 2 a.m. EDT",14470,13410,12664,-1806
ISNE,"7/14/2022 3 a.m. EDT",13970,12880,12249,-1721
ISNE,"7/14/2022 4 a.m. EDT",13628,12560,11900,-1728
ISNE,"7/14/2022 5 a.m. EDT",13605,12560,11964,-1641
ISNE,"7/14/2022 6 a.m. EDT",14069,13040,12488,-1581
ISNE,"7/14/2022 7 a.m. EDT",14730,13900,13071,-1659
ISNE,"7/14/2022 8 a.m. EDT",14745,14720,13182,-1563
ISNE,"7/14/2022 9 a.m. EDT",15315,15080,13700,-1615
ISNE,"7/14/2022 10 a.m. EDT",15517,15310,14252,-1265
ISNE,"7/14/2022 11 a.m. EDT",15947,15720,14773,-1174
ISNE,"7/14/2022 12 p.m. EDT",16587,16350,15496,-1091
ISNE,"7/14/2022 1 p.m. EDT",17146,17050,15972,-1174
ISNE,"7/14/2022 2 p.m. EDT",17554,17610,16050,-1504
ISNE,"7/14/2022 3 p.m. EDT",18056,18090,16491,-1565
ISNE,"7/14/2022 4 p.m. EDT",18721,18490,17106,-1615
ISNE,"7/14/2022 5 p.m. EDT",19245,18920,17849,-1396
ISNE,"7/14/2022 6 p.m. EDT",19667,19500,17831,-1836
ISNE,"7/14/2022 7 p.m. EDT",19785,19320,17624,-2161
ISNE,"7/14/2022 8 p.m. EDT",19390,18790,17371,-2019
ISNE,"7/14/2022 9 p.m. EDT",18743,18190,16845,-1898
ISNE,"7/14/2022 10 p.m. EDT",17834,17340,16030,-1804
ISNE,"7/14/2022 11 p.m. EDT",16312,15920,14600,-1712
ISNE,"7/15/2022 12 a.m. EDT",14751,14430,13223,-1528
ISNE,"7/15/2022 1 a.m. EDT",13619,13520,11999,-1620
ISNE,"7/15/2022 2 a.m. EDT",13211,12650,11392,-1819
ISNE,"7/15/2022 3 a.m. EDT",12738,12080,11110,-1628
ISNE,"7/15/2022 4 a.m. EDT",12527,11720,10886,-1641
ISNE,"7/15/2022 5 a.m. EDT",12467,11680,10923,-1544
ISNE,"7/15/2022 6 a.m. EDT",12803,12010,11226,-1577
ISNE,"7/15/2022 7 a.m. EDT",13276,12860,11838,-1438
ISNE,"7/15/2022 8 a.m. EDT",13857,13600,12247,-1610
ISNE,"7/15/2022 9 a.m. EDT",13776,13800,12495,-1281
ISNE,"7/15/2022 10 a.m. EDT",14026,13880,13078,-948
ISNE,"7/15/2022 11 a.m. EDT",14288,14120,13471,-817
ISNE,"7/15/2022 12 p.m. EDT",14604,14550,13806,-798
ISNE,"7/15/2022 1 p.m. EDT",14950,15050,14135,-815
ISNE,"7/15/2022 2 p.m. EDT",15314,15640,14420,-894
ISNE,"7/15/2022 3 p.m. EDT",15925,16320,14785,-1140
ISNE,"7/15/2022 4 p.m. EDT",16688,17070,15580,-1108
ISNE,"7/15/2022 5 p.m. EDT",17374,18120,16268,-1106
ISNE,"7/15/2022 6 p.m. EDT",18064,18760,16835,-1229
ISNE,"7/15/2022 7 p.m. EDT",18280,18830,16826,-1454
ISNE,"7/15/2022 8 p.m. EDT",17901,18040,16339,-1562
ISNE,"7/15/2022 9 p.m. EDT",17242,17390,15623,-1619
ISNE,"7/15/2022 10 p.m. EDT",16509,16670,14778,-1731
ISNE,"7/15/2022 11 p.m. EDT",15246,15460,13340,-1906
ISNE,"7/16/2022 12 a.m. EDT",13957,14130,11972,-1985
ISNE,"7/16/2022 1 a.m. EDT",12910,12890,10898,-2012
ISNE,"7/16/2022 2 a.m. EDT",12913,12140,10611,-2302
ISNE,"7/16/2022 3 a.m. EDT",12677,11610,10584,-2093
ISNE,"7/16/2022 4 a.m. EDT",12337,11280,10275,-2062
ISNE,"7/16/2022 5 a.m. EDT",12191,11140,10170,-2021
ISNE,"7/16/2022 6 a.m. EDT",12225,11170,10230,-1995
ISNE,"7/16/2022 7 a.m. EDT",12441,11400,10211,-2230
ISNE,"7/16/2022 8 a.m. EDT",12665,11830,10901,-1764
ISNE,"7/16/2022 9 a.m. EDT",13078,12430,11729,-1349
ISNE,"7/16/2022 10 a.m. EDT",13108,12910,11938,-1170
ISNE,"7/16/2022 11 a.m. EDT",13657,13460,12569,-1088
ISNE,"7/16/2022 12 p.m. EDT",14145,13960,13001,-1144
ISNE,"7/16/2022 1 p.m. EDT",14573,14380,13338,-1235
ISNE,"7/16/2022 2 p.m. EDT",14677,14660,13510,-1167
ISNE,"7/16/2022 3 p.m. EDT",14900,15120,13892,-1008
ISNE,"7/16/2022 4 p.m. EDT",15396,15790,14307,-1089
ISNE,"7/16/2022 5 p.m. EDT",15913,16250,14778,-1135
ISNE,"7/16/2022 6 p.m. EDT",16522,16900,15328,-1194
ISNE,"7/16/2022 7 p.m. EDT",16758,17250,15765,-993
ISNE,"7/16/2022 8 p.m. EDT",16597,17160,15622,-975
ISNE,"7/16/2022 9 p.m. EDT",16423,16710,15348,-1075
ISNE,"7/16/2022 10 p.m. EDT",16035,16430,14726,-1309
ISNE,"7/16/2022 11 p.m. EDT",15109,15380,13508,-1601
