BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ISNE,2/9/2023 1 a.m. EST,11786,11740,9929,-1857
ISNE,2/9/2023 2 a.m. EST,12061,11470,9838,-2223
ISNE,2/9/2023 3 a.m. EST,12016,11380,9767,-2249
ISNE,2/9/2023 4 a.m. EST,12088,11460,9870,-2218
ISNE,2/9/2023 5 a.m. EST,12307,11830,10095,-2212
ISNE,2/9/2023 6 a.m. EST,12945,12820,10680,-2265
ISNE,2/9/2023 7 a.m. EST,14284,14340,11859,-2425
ISNE,2/9/2023 8 a.m. EST,14920,14990,12324,-2596
ISNE,2/9/2023 9 a.m. EST,14328,14290,12120,-2208
ISNE,2/9/2023 10 a.m. EST,13828,13950,11992,-1836
ISNE,2/9/2023 11 a.m. EST,13912,14000,12150,-1762
ISNE,2/9/2023 12 p.m. EST,14131,14100,12261,-1870
ISNE,2/9/2023 1 p.m. EST,14305,14120,12316,-1989
ISNE,2/9/2023 2 p.m. EST,14457,14300,12290,-2167
ISNE,2/9/2023 3 p.m. EST,14567,14390,12193,-2374
ISNE,2/9/2023 4 p.m. EST,14806,14650,12398,-2408
ISNE,2/9/2023 5 p.m. EST,15297,15280,13186,-2111
ISNE,2/9/2023 6 p.m. EST,15929,15930,13810,-2119
ISNE,2/9/2023 7 p.m. EST,15836,15980,13862,-1974
ISNE,2/9/2023 8 p.m. EST,15343,15370,13451,-1892
ISNE,2/9/2023 9 p.m. EST,14679,14600,12637,-2042
ISNE,2/9/2023 10 p.m. EST,13760,13710,11697,-2063
ISNE,2/9/2023 11 p.m. EST,12663,12620,10903,-1760
ISNE,2/10/2023 12 a.m. EST,11862,11690,10173,-1689
ISNE,2/10/2023 1 a.m. EST,11657,11080,10095,-1562
ISNE,2/10/2023 2 a.m. EST,11546,10710,9711,-1835
ISNE,2/10/2023 3 a.m. EST,11408,10520,9402,-2006
ISNE,2/10/2023 4 a.m. EST,11621,10510,9552,-2069
ISNE,2/10/2023 5 a.m. EST,11710,10810,9671,-2039
ISNE,2/10/2023 6 a.m. EST,11987,11660,9702,-2285
ISNE,2/10/2023 7 a.m. EST,13199,13050,10822,-2377
ISNE,2/10/2023 8 a.m. EST,13612,13600,11381,-2231
ISNE,2/10/2023 9 a.m. EST,13096,13020,11029,-2067
